马拉多纳：我从没说过梅西自私 阿根廷为什么15年无冠
　　在离开南半球火热的夏天，率队前往法国参加热身赛之前，迭戈·马拉多纳接受了《法国足球》的专访，对他执掌阿根廷国家队以来的3个月做个小结。这名前世界冠军当然关注2月11日同法国的比赛，但他更感兴趣的，是如何让阿根廷这支从来不缺少球星、但自1990年代以来一直无缘大赛冠军的球队，重新找回自己的荣耀，以及获得这种荣耀的气质。尽管对没能按自己所愿组织教练组有些失望，但马拉多纳很高兴与球员结成了良好的关系。在他看来，阿根廷的问题在于动力和斗志，而不是技战术，他也希望梅西能够保持眼下这种火爆的状态。
　　我希望梅西能够变得比我更加重要。也就是说，我们将有一名能够将快乐带给所有阿根廷人的球员。
　　FF 迭戈，您于去年11月19日在格拉斯哥率领阿根廷进行了任期内的第一场比赛(阿根廷1比0胜苏格兰)。您当时刚刚获得任命，而且阵中缺少多名重要球员。同法国的这场比赛才是您国家队主帅生涯的真正开始吧？
　　DM 不，真正的开始就是同苏格兰的比赛。当时，改变球员的态度是必须的，因为他们刚刚在世界杯预选赛中同智利进行了一场非常糟糕的比赛(阿根廷0比1负)。对于我来说，必须为国家队的新时代吹响开场哨。如今面对法国，我聚集了所有自己中意的球员，那些错过同苏格兰比赛的球员会加入我们
　　FF 在马赛，您将会排出心目中的主力阵容吗？
　　DM 不论如何，我能排出将在世界杯预选赛中对阵委内瑞拉和玻利维亚时的阵容，那是一支所有教练都梦想的球队。
　　FF 届时您会有一个旗鼓相当的对手。您了解这支法国队吗？
　　DM 我们观看了他们同乌拉圭的比赛(0比0战平)。他们在攻击线上有3名美妙的球员：里贝里、阿内尔卡和亨利，他们都在欧洲一线俱乐部效力。只有尽可能限制他们，我们才能踢出自己的足球，这非常重要。而过多去研究对手的细节是白费力气，因为如果我们不能保证控球，一切都是白搭。对于我来说，重要的是我的球员们在球场上表现出自己的能力，而不是去过多地去关注对手。
　　FF 您在1月去欧洲进行了一次旅行，与您希望征召的球员会面，其中一些球员很快就加入了国家队。尤其是梅西，他将出现在马赛，他会在球队中扮演怎样的角色呢？是如您上任之初所希望的进攻组织者？还是他如今在巴萨所踢的右边锋？
　　DM 听着，我身边有很多顾问，甚至说得太多了，所有人都想将自己的想法强加给我。有一点是非常明确的：我认为莱奥(梅西)最好的位置在右路，这样可以让他拿球内切面对球门时左脚可以直接攻门。这是最理想的方式，因为他可以将对方的后卫甩在身后。他以这种方式在巴萨踢得非常棒，我看不出为何要改变他踢球的方式。
　　FF 在您看来，梅西有朝一日能在阿根廷国家队成为和当年的马拉多纳一样重要的球员吗？
　　DM 我希望梅西能够变得比我更加重要。也就是说，我们将有一名能够将快乐带给所有阿根廷人的球员。
　　FF 然而，就在几个月前，您似乎对他的看法并不这么积极
　　DM 我只是想给梅西提出一点点建议，告诉他应该更快地出球。但某些人很快就歪曲了我的言论，说我认为梅西很“自私”。随后，我和莱奥澄清了这件事。我想说的是，莱奥随时随地都可以爆发，他已经证明了自己无所不能。我们给他球，然后他可以自娱自乐。因为当他自娱自乐的时候，所有人都得到了享受！
　　我当然在冒险，但我会全力以赴，我甚至会挺起胸膛迎接子弹。
　　FF 您曾说过，就任国家队主帅后最重要的工作就是改变球员的态度。这为什么如此重要？
　　DM 球员们必须明白阿根廷国家队的球衣代表着什么，他们必须尊重这件球衣。你可以请来一位大名鼎鼎的教练，但如果他不明白球衣的意义，他从未穿上过这件球衣，从未用自己的汗水湿透它，他就不会明白阿根廷人期待什么，那么他又如何能让球员们明白这一切呢？而我了解这一切。所以我上任后的第一件事，就是让球员们重新感受这件球衣。他们明白，在我这里任何人都没有特权，状态最好的球员永远都会入选。我建立了一个原则，所有入选国家队的球员都有机会出场，他们必须拿出实际行动，证明自己配得上出场。正是出于这个原因，我决定直到比赛前一天晚上再公布出场名单。
　　FF 阿根廷有很多出色的球员，但您的前任们似乎运气都不怎么好。自从您挂靴后，15年以来，阿根廷再也没能夺得重要的奖杯。对此您如何解释？
　　DM 现在不是指认罪魁祸首的时候，但我认为问题主要出在了精神状态方面。我能确定，有一些主教练没能让球员们明白阿根廷国家队球衣所代表的“神秘意义”。我坚持这一点，因为我和教练组的许多成员都经历过一些伟大的决赛。
　　FF 也就是问题出在头脑而不是双腿？
　　DM 对，因为我们的球员踢得并不差。相反，这支球队踢得非常棒，需要改变的是精神状态和心理状态，球员们要有坚持到底的信念。有了这一点，剩下的就是组建一支我们所拥有的最好的球队。
　　FF 阿根廷足协主席胡利奥·格伦多纳选择了您来承担这项使命。作为球员，您赢得了一切，您不怕这段全新的冒险会毁掉您的一世英名吗？如果阿根廷不能在南非夺冠，我们能说这是马拉多纳的失败吗？
　　DM 我当然在冒险，但我会全力以赴，我甚至会挺起胸膛迎接子弹。某一天，我听一名教练说，我在拿自己的王冠作赌注。我不喜欢这么说，我没有拿任何王冠下注，我来这里是希望奉献最好的自己，与球员们一起，让阿根廷国家队取得进步。我的王冠？多么愚蠢的想法啊！我们所有人在这里就是为了前进，而不是来散步的。我认为自己在与每一名球员会面时已经让他们明白了这一点，我和他们谈了很久。
　　FF 您对这些球员怎么看？
　　DM 他们都充满了动力，他们也希望国家队能不断前进。要知道他们都被当作高水平的球员来对待，什么都不缺。而我坚持要让他们明白阿根廷国家队球衣意味着什么，这对所有阿根廷人都非常重要。在我们这样一个国家，面对目前的所有问题，我们必须不惜一切的代价让阿根廷人感到快乐。如果我们做不到这一点，那么我们的工作将没有任何的意义。人们当年对贝尔萨有求必应，巴西莱也可以按照自己的意愿任命教练组，而他们却拒绝了我的要求。但请相信我，这只会增强我努力前进的欲望。
　　FF 最近几周，我们感觉到您对于格伦多纳拒绝鲁杰里进入教练组感到非常生气。但您最终还是让步了
　　DM 我需要鲁杰里。我要他来不是为了在教练席上给我建议，而是因为他能给球队带来动力和决心。不幸的是，某些人出于之前的个人恩怨而选择反对。我在接受这个位置的时候，可是将个人恩怨都扔在了一边，比拉尔多也是一样，还有格伦多纳。但对于某些人来说，个人恩怨似乎比阿根廷国家队更重要。算了吧，鲁杰里事件已经结束了。那些在这场争斗中应该获胜的人，最终也确实胜出了。
　　FF 在这个事件中，您是否曾考虑过辞职？
　　DM 我脑袋里只想着球员，从来没有考虑过辞职。我告诉自己，我必须全力以赴，让国家队能够走上正确的道路。球员们能做到这一点，因为我们有着非常出色的阵容。
　　FF 和格伦多纳谈判很艰难吧？
