皮耶罗：我在国家队表现并不差 曼联是一生最强的对手
　　9月17日，皮耶罗将重新出现在睽违了两个赛季的欧洲冠军联赛中！经过一年意乙和一年无冠军杯的意甲赛季，“电话门”给尤文图斯带来的损伤，最终被皮耶罗和他的队友们减到了最低程度。带着愤怒和骄傲，他们回来了！
　　回归欧冠，对于尤文图斯队长皮耶罗来说有着更为浓重的意义。13年前，皮耶罗打进了个人在冠军杯赛上的第一个进球：1995年9月13日，做客德国对阵多特蒙德，那也是皮耶罗首次出现在冠军杯赛场上--禁区前横带右脚劲射破网--那个进球改变了那场比赛的结果，也改写了皮耶罗的个人生涯。他当时的队友拉瓦内利后来回忆说，像皮耶罗那样进球的人，只有马拉多纳。
　　从13年前到今天，皮耶罗改变了多少？“这个问题，得问那些一直喜欢以不真实眼光看我的人。”尤文图斯队长说，“比如那些至今还在质疑我位置的人。我是一个前锋，而且一直都是。我的位置在门前，因为我的进球可以作证。”
　　本赛季尤文图斯的阵容更加强大了，但如果想在欧洲冠军联赛中走到最后，我们每名队员的内心必须有某种魔幻般的力量作支撑。
　　SW 对于13年前那场冠军杯，你的记忆是怎样的？
　　ADP 雨下个不停……比赛开始不久，我们就被对方破门了，但帕多瓦诺很快扳平了比分，然后是我的进球将比分反超，最后是孔蒂扩大比分。一切都很难忘。
　　SW 你能在首场冠军联赛中取得那样一个进球，只有注定的天才才做得到。
　　ADP 那时我20岁，在那个年纪，你根本不会害怕犯错，拥有尝试一切的勇气。当时我也没有料到。此后又诞生了很多类似的进球，它们被统称为“皮耶罗式进球”。我只知道，那种进球方式是我最熟练和拿手的。
　　SW 那个进球意味着你的球星生涯真正开启了？
　　ADP 它至少意味着，从我们此前一个赛季获得联赛冠军开始，一连串美妙的时刻接踵而来(那个赛季尤文图斯最终夺得了欧洲冠军杯)。那个夏天(1995年)，巴乔也离开了尤文图斯，或许这意味着我正式成为了他在尤文的接班人。
　　SW 拉瓦内利曾说，他在你身上重新看到了马拉多纳。你认为自己的风格是更接近马拉多纳，还是巴乔、普拉蒂尼、佐拉或济科？
　　ADP 我从未问过自己这个问题。你说的那些都是出类拔萃的球员，从某种程度上说，他们是不可企及的。不过我的感受是，自己不像他们中的任何一位。当然，我这样说，并不表示我自认为比他们优秀。
　　SW 哪一场冠军杯赛事是你渴望重新比试的？
　　ADP 那3场失利的冠军杯决赛：对多特蒙德(1997年)、皇马(1998年)和AC米兰(2003年)。但是能够出现在那几次决赛上，同样令我高兴，因为失败也有它的意义。
　　SW 你通过冠军联赛所去过的球场中，哪一座最棒？
　　ADP 从看台上球迷的热度来说，最棒的当属格拉斯哥两支球队：流浪者和凯尔特人的主场，紧随其后的是曼联的主场老特拉福德。同时利物浦的主场安菲尔德也有一种唯一的气氛。
　　SW 那最糟糕的球场呢？
　　ADP 斯洛伐克布拉迪斯拉发队的主场。
　　SW 因冠军联赛去过的最美城市是哪里？
　　ADP 伦敦、莫斯科、马德里。但除了机场和酒店，我们无法亲身体验到更多。
　　SW 你也经常去美国，并且多次强调，那里是你很喜欢的地方。如果你是美国人，你会投票给奥巴马还是麦凯恩(注：两人正在竞选新一届美国总统)？
　　ADP 我当然有自己的选择，但我不会说出来，只是我能预测出谁会赢……麦凯恩。
　　SW 为什么？
　　ADP 因为我比较了解美国人，也知道有很多好莱坞明星站在奥巴马这边。但在美国，谁更有形象价值，反而总是当第二。
　　SW 那么科比·布莱恩特和勒布朗·詹姆斯相比呢？
　　ADP 我是湖人队球迷，所以我选择科比。但如果这样说，这个对比就不应该算数。
　　SW 回到冠军杯话题--你所遇到过最强大的对手是哪支球队？
　　ADP 皇家马德里一直拥有很多天才，但我觉得，更强大的对手一直是曼联。
　　SW 那你愿意去这支强大的队伍踢球吗？
　　ADP 要我选择的话，我选择皇马，它一直是我最喜欢的球队之一。
　　SW 目前这支尤文能在本赛季欧冠走得很远吗？
　　ADP 本赛季我们的阵容的确更加强大了，但要在这种水平的赛事走到最后，我们每名队员的内心必须有某种魔幻般的力量作支撑。就像冠军杯本身一样，充满魔幻色彩。
　　我不觉得自己在国家队的表现很差，毕竟我赢得了一次世界杯冠军。我认为自己是个幸运并且有着特别经历的国脚，但这种幸运和特别，完全是我用努力换来的。
　　SW 拉涅利曾经说过，你就像葡萄酒，越陈越香。
　　ADP 这是个美好的赞誉。
　　SW 那你真的感觉自己比过去的表现还要好吗？
　　ADP 至少我最近两个赛季的表现是非常积极和值得肯定的。
　　SW 你和拉涅利之间的关系并不是从一开始就很融洽，最初你还坐过几次板凳。你是怎样让他改变主意的？
　　ADP 他并不是唯一曾对我改变过看法的主教练，而这些教练的名单加起来还蛮长的。自从1998年膝盖受伤之后，我的职业生涯被许多人打满了问号——不过今天，这些问号从他们的脑子里消失了。
　　SW 2001年2月18日对巴里的一场比赛，你进球后哭了，并把此球献给几天前去世的父亲吉诺。而且从那以后，你真正突破了自己，并重新开始了优秀表现，这只是一个巧合吗？
　　ADP 那个进球之后所发生的一切，我一直无法相信是真的。或许我父亲(去世)的事情简单化了我的足球生涯，让我从此前各种纷乱的想法和犹豫当中彻底摆脱了出来。我开始不再担心别人的评价，因为这世上真正无法解决的难题，或许是其他事情。父亲患病的过程教会了我这些。在那之前，我一直认为足球就是我的生命；后来我也明白，生命并不只有足球……接着，我在足球场上不断收获了好的成绩。
