中超16强世界杯日历：申花引阿后腰 国安要换外援
　　体坛网讯 上海申花 7日集中，13日前往斯洛文尼亚，16天后回沪。正在洽谈一名阿根廷后腰，维森特遭弃。
　　辽宁宏运 放假三天，现已集中备战与国奥的首场热身赛，球队将更换奥利维拉。
　　山东鲁能 放假十天，随后飞往斯洛文尼亚和克罗地亚，将更换本森。
　　杭州绿城 7日集中，有意引进一个亚洲外援和欧洲外援，位置是前锋和后腰。
　　河南建业 5日集中，将更换阿玛多。
　　南昌八一 10日在上海集合，初定和申花、东亚热身，7月10日返回南昌。
　　长春亚泰 放假9天，然后集中备战国奥。有意引进韩国边后卫。
　　江苏舜天 9日在南京集合，随后开赴昆明集训。正在与帕尔马洽谈合作计划，将放弃路易斯。
　　北京国安 6日与深圳比赛结束后，将放假两周，随后在香河集训，外援更换计划也提上台面。
　　陕西中建 7日在北京集合，8日兵发斯洛文尼亚并集训20天。莱奥与桑托斯已离队，李毅被挂牌。
　　天津泰达 放假两周，随后在津集训，阿里·汉将于十天后返回。
　　深圳红钻 6月底去昆明集训20天，期间会用满2名外援和2名内援的名额。
　　长沙金德 取消休假，已补发一个月工资。
　　大连实德 7日集中，在大连集训。有消息显示新帅人选将是一名塞籍年轻教练，外援将在教练到位后进行调整。
　　重庆力帆 周末集中，在重庆训练半个月后，开赴昆明，主要将考察前锋和中场外援。
　　青岛中能 周末集中，已弃用后卫乌科，引援目标将集中在后防线。

