162家被关闭违法违规视听节目网站名单
　　序号 网站名称 网站域名 服务器放置地
　　1 930播播 http://www.2009bo.cn 北京
　　2 mm888mm http://www.mm888mm.cn 北京
　　3 QVOD在线电影网 http://www.qvodvod.com 北京
　　4 XBT联盟网 http://www.xbt.com.cn 北京
　　5 白骨精公社 http://www.baigujing.com 北京
　　6 大连生活网 http://www.dlone.com 北京
　　7 都市影城网 http://www.d4vod.cn 北京
　　8 非常影视吧 http://www.fcqq8.cn 北京
　　9 疯人榜 http://v.xixi168.com 北京
　　10 激情电影免费观看 http://www.51888la.cn 北京
　　11 开心网QVOD电影网 http://www.nidvd.cn 北京
　　12 丽水影视城 http://www.lsysc.cn 北京
　　13 玫瑰卫星电视 http://www.irosetv.com 北京
　　14 手机下载网 http://www.d3gp.com 北京
　　15 天天BT下载 http://www.ttbt.cn/ 北京
　　16 土豆网小电影 http://www.gogolo.com.cn 北京
　　17 迅雷影视基地 http://www.xlbaby.cn 北京
　　18 真奥视频网 http://v.zhenoo.com 北京
　　19 0576影吧网 http://www.vod0576.com 天津
　　20 空人影院 http://www.kongren.com 河北
　　21 海盗狗影视网 http://www.hidogo.com 山西
　　22 暴风影院 http://www.ai63.cn 内蒙古
　　23 长影电影网 http://movie.c1895.com 吉林
　　24 BT990 http://www.bt990.com 上海
　　25 成人小电影大全 http://w270660.s105.ufhost.com 上海
　　26 飞梦免费电影 http://www.vod588.com 上海
　　27 酷酷365 http://www.kuku365.com 上海
　　28 六好 http://www.6good.com 上海
　　29 龙胜宽频 http://www.vip920.com 上海
　　30 绿盟影院 http://vod.cnlvs.com 上海
　　31 美女导航 http://www.5156mm.com 上海
　　32 免费电影 http://www.0538dy.com 上海
　　33 我乐看视频 http://www.56kan.cn 上海
　　34 喜爱免费电影 http://www.xivod.com 上海
　　35 123性爱影院 http://www.126-sex.cn 江苏
　　36 200免费影院网 http://www.200dy.com 江苏
　　37 365影院 http://www.365sex.apian.zuixindizhi.365sexyazhouzuidadeqingsewangzhanshuangsini.cn/www.365sex/jiqingdianying/chengrendianying/cgapian/index.html?id=123F920H818Q715D8 江苏
　　38 91娱乐网 http://www.91ent.cn 江苏
　　39 NULL http://wvw.go.8800.org 江苏
　　40 成人午夜场 http://www.520dj.net.cn 江苏
　　41 哈哈影院 http://www.hahadvd.com 江苏
　　42 航航在线影院 http://www.im158.com 江苏
　　43 黑夜影视 http://www.heiye.org 江苏
　　44 湖南电影网 http://www.mv567.cn 江苏
　　45 黄色A片电影 http://www.sisos.cn 江苏
　　46 看看搜 http://www.kankanso.com 江苏
　　47 酷9网 http://www.ku9w.cn 江苏
　　48 麦子乐网 http://www.mz6.cn 江苏
　　49 土豆电影网 http://www.fa39.com 江苏
　　50 我乐电影-成人电影午夜场 http://movie8.hkins.vfba6.hao3gpw.com.cn 江苏
　　51 午夜VIP会员电影专区 http://www.nt12333.com 江苏
　　52 午夜快感吧 http://1.fvu8hfju.vip.youkuas.com.cn 江苏
　　53 香港激情性爱影院 http://www.lyjy.net 江苏
　　54 娱乐网址大全 http://www.uee8.cn 江苏
　　55 3G娱乐网 http://www.3g007.com 浙江
　　56 5kan5 http://www.5kan5.com 浙江
　　57 78Q超级搜索 http://www.78q.com 浙江
　　58 HI妹导航 http://www.kk830.cn 浙江
　　59 爱我吧 http://www.a5ba.cn 浙江
　　60 成人电影 http://www.crdvd8.cn 浙江
　　61 动漫之都 http://v.0571china.com 浙江
　　62 贵族网络 http://mv.gueizu.com 浙江
　　63 克努比免费电影 http://www.kenubi.cn 浙江
　　64 乐乐搜 http://www.leleso.com 浙江
　　65 七八影视 http://www.78ip.cn 浙江
　　66 土豆影吧 http://www.tudouyb.cn 浙江
　　67 香瓜影院 http://www.xg1314.cn 浙江
　　68 优八影院 http://www.u8yy.com 浙江
　　69 就去色色五月天 http://www.0579ly.cn 浙江
　　70 345免费电影 http://www.345.com.cn 浙江
　　71 就去干色色 http://www.776sq.cn 浙江
　　72 在线土豆网 http://www.bbb9.com 浙江
　　73 雪夜影视 http://www.hunna123.cn 浙江
　　74 叮当动漫 http://www.kt88.net 浙江
　　75 18禁午夜剧场手机电影 http://www.1773dy.cn 安徽
　　76 成人电影-免费激情成人电影俱乐部 http://www.dy368.cn 安徽
　　77 都玩PSP游戏网 http://www.dwpsp.com 安徽
　　78 快播360网 http://www.qvod360.cn 安徽
　　79 搜一次 http://www.yody.cn 安徽
　　80 易狗影视 http://www.evgo.cn 安徽
　　81 811影院 http://www.811dy.cn 福建
　　82 MM激情视频 http://www.pccpa-online.com 福建
　　83 成人午夜场电影 http://www.kuleqi.com 福建
　　84 成人午夜电影 http://www.vbnhmc.cn 福建
　　85 德化吧 http://www.dehua8.com.cn 福建
　　86 电视迷吧 http://www.tvfans8.cn 福建

