股基成交龙虎榜出炉 银河国泰君安国信蝉联三甲
　　广发证券跃居第四 光大证券进入前十
　　证券时报记者 桂衍民 　见习记者 伍泽琳
　　随着沪深交易所对去年交易总额加以公示，2010年度证券交易龙虎榜随之出炉。根据证券时报对沪深两市100家证券经纪商2010年全年股票和基金交易总额的统计显示，银河证券、国泰君安和国信证券依然蝉联冠亚季军，广发证券则从前年的第7名跃居第4名，成为大券商中最大赢家，光大证券替代中信证券进入前10名行列。
　　证券时报数据部统计显示，2010年沪深两市交易所会员实际成交总额为122.43万亿元，创下历史新高。总成交额排名中，国泰君安和银河证券保持前年的冠亚军位次，前年排名第五的申银万国上升到第三。前三甲会员总成交额分别为6.45万亿元、6.39万亿元、以及5.69万亿元，对应的市场占比分别为5.27%、5.22%以及4.65%。
　　不过，在对经纪业务贡献最大的股票和基金成交总额排名中，上述排名却发生了一些变化，前三名依次为银河证券、国泰君安证券和国信证券，对应的股基成交总额分别为5.64万亿、5.33万亿和4.98万亿，对应的市场份额分别为5.12%、4.84%和4.52%。前10名中，广发证券从前年第7位前进至第4位，海通证券则后退一位排名第五，前年排名第五的申银万国证券后退至第七位，光大证券替代中信证券位居第十，中信证券则退居第十三。招商证券、华泰证券和中信建投证券位次均保持不变，分别位居第六、第八和第九。
　　统计还显示，在新股发行创天量的背景下，2010年沪深交易所的股票成交额也突破首次百万亿元，创下历史新高。据统计，2010年，交易所会员全年股票成交金额为108.43亿元，占会员交易总额的88.56%，成交额比2009年增加29%；股票交易排行榜上，银河证券位居榜首，全年成交额为5.57万亿元，占去年全部股票成交额的5.14%；国泰君安证券以5.1万亿元的股票成交额位居第二，市场占比4.7%；而排名第三的为国信证券，股票成交额为4.9万亿元，市场占比为4.52%。
　　基金成交额方面，2010年沪深两市成交总额为1.7万亿元，较2009年小幅下滑了10.5%。统计发现，基金成交额前三的会员2010年基金成交额为5360亿元，占两市基金总成交额的31.49%。排名上，2009年基金成交额排名第二的国泰君安证券以2402亿元的成交额位居2010年的榜首；排名第二是2009年的冠军齐鲁证券，基金成交额为1933亿元；华泰证券以1024亿元的成交额排名位居第三。
　　2009年、2010年股基交易额排名对比
　　2010年股基交易额排名前十 2009年股基交易额排名前十
　　券商 股基成交额(亿元) 占比(%) 券商 股基成交额(亿元) 占比(%)
　　银河证券 56410.18 5.12 银河证券 46941.47 5.46
　　国泰君安 53324.66 4.84 国泰君安 42672.71 4.96
　　国信证券 49785.34 4.52 国信证券 39369.29 4.58
　　广发证券 45837.20 4.16 海通证券 35504.27 4.13
　　海通证券 44768.32 4.06 申银万国 34363.82 4.00
　　招商证券 44054.57 4.00 招商证券 34149.76 3.97
　　申银万国 42107.07 3.82 广发证券 33329.59 3.88
　　华泰证券 41155.47 3.74 华泰证券 30436.21 3.54
　　中信建投 36500.07 3.31 中信建投 28885.42 3.36
　　光大证券 34547.78 3.14 中信证券 27730.89 3.23
　　数据来源/证券时报数据部 桂衍民/制表

