油价高企 塑料难返低价时代
　　东证期货 郭华
　　自12月份开始，大连塑料期货(LLDPE)主力1105合约增仓明显，已接近80万手，表明其已逐步成为资金关注焦点；1101合约和1105合约价差持续拉大，目前已超过1200点，创上市以来新高。究其原因，一方面是塑料本身具有3月份仓单集中注销的制度，使得市场投机力量更为关注1105合约，同时也说明市场对于近期行情较为悲观，而对于中长期还是较为乐观。
　　本周一，受到周末中国央行再次上调存款准备金率影响，市场对于加息的担忧暂时得到缓解，跟随大盘强势上扬，一举突破12000点压制，但之后由于市场心态迷茫，LLDPE再次进入盘整格局，尤其周四在股市下行拖累下，主力合约L1105收跌，呈现吊锤头形态。
　　原油近期90美元处面临压力
　　但长期涨势不变
　　原油库存目前仍处于历史高位，同时美国就业市场形势依然不明朗，因此近期原油在90美元处仍面临较大压力，但长期仍较看好。主要理由基于三点：首先，石油将成为货币贬值引发商品资产泡沫的最后一个洼地。大宗商品价格在过去一年中争先恐后上扬，尤其是有基本面支撑的商品，如棉花、玉米、铜价格均上涨至历史高点附近，黄金期货更是由于其天然的货币属性而成为资金追捧的最佳首选。石油是唯一的例外，目前几乎仅处于2008年历史高位区的半山腰。从比价角度看，原油目前处于价值低估的洼地，随着经济持续复苏，未来有较大上涨空间；其次，新兴经济体复苏带动原油需求快速增加，虽然欧美等发达经济体的原油需求有待恢复，但新兴经济体的需求增加却尤为迅猛，比如当前中国对于原油的消费量都已经远远超过了金融危机前的高点；最后，冬季取暖油消费高峰来临，再加之今年出现罕见的北半球严寒气候，预计今冬取暖油增加将更为明显。而根据OPEC统计数据显示，目前全球原油已呈现供给略小于需求局面。受基本面支撑，原油上行有较强动能。原油强势上行必将为LLDPE提供有力的成本支撑和引领作用。
　　经济形势依然向好
　　市场对加息分歧扩大
　　12月1日公布的最新PMI指数表明，11月中国制造业采购经理人指数PMI为55.2%，创近7个月来新高，环比上升0.5个百分点，新订单指数11月仅比10月微升0.1个百分点，但生产指数比10月上升1.4个百分点，产成品库存指数上升2.0个百分点，购进价格指数上升3.6个百分点，反映国内需求的进口指数下跌1.8个百分点。数据显示，12月将是一个补库存过程，生产可能还会高增长，经济活力依然较强。经济持续复苏一方面将带来温和通胀，导致大宗商品价格的上涨；另外一方面也加剧了市场对于政策抑制通胀的担忧，虽然最新公布的CPI高达5.1%，但央行依然采用数量型工具进行调控——年内第六次上调存款准备金率，因此市场对于加息问题分歧加大，这或将加剧整体商品市场的动荡。
　　供需面对PE市场影响偏中性
　　从供应层面来看，2010年国内PE产量呈现持续增长态势，10月产量为98.4万吨，创年内新高，但进口方面有所减少，10月PE总进口53.47万吨，环比减少13.91%。另外，从排产计划上看，11月份石化厂共有约49万吨的检修计划，占PE总产能的12.9%，对市场有一定影响力。再加上“柴油荒”促使石化厂采取“限塑增油”的措施，可能会导致聚乙烯产量下降，因此总体上未来一段时间PE供应量不会有明显变化。从需求层面来看，虽然农膜需求旺季即将结束，但LLDPE下游塑料薄膜整体需求尚可。供需整体将维持相对平衡状态，若无突发性事件，则整体供需面不会有明显变化。
　　国内期市每日行情
　　品种 交割月 今开盘 最高价 最低价 收盘价 结算价 涨跌 涨跌幅度% 成交量 持仓量 持仓量变化
　　铝          1103    16530      16590      16525      16540      16555      －60        －0.36    25570        92920      －538
　　黄金        1106    299.01    300.28    298.69    300.25    299.41    －2.19    －0.72    19962        65558      －1256
　　铜          1103    67810      67840      66920      67170      67360      －1310    －1.91    272762      215526    －4316
　　燃料油      1103    4853        4907        4851        4879        4887        15          0.31      76910        82356      1902
　　螺纹钢      1105    4765        4787        4757        4767        4772        －16        －0.33    389226      625876    －8166
　　天然橡胶    1105    34800      35400      34455      35050      34880      －120      －0.34    926854      171444    －20
　　线材 1101 4688 4688 4688 4688 4688 19 0.41 2 6 0
　　锌          1103    18390      18630      18250      18515      18445      －280      －1.49    789750      281856    －6616
　　豆一        1109    4405        4425        4400        4408        4414        －22        －0.5      134128      219748    －356
　　玉米        1109    2327        2332        2321        2323        2326        －12        －0.51    122412      323992    －9788
　　聚乙烯      1105    12360      12545      12240      12245      12410      －55        －0.45    792406      190656    －11778
　　豆粕        1109    3310        3338        3306        3326        3324        1            0.03      519108      977944    7720
　　棕榈油      1109    9376        9406        9318        9352        9364        －94        －1          228882      199746    －348
　　聚氯乙烯    1105    8230        8355        8230        8270        8300        －25        －0.3      113354      73532      －3106
　　豆油        1109    9960        10032      9952        9990        9994        －76        －0.76    534232      458408    －16060
　　棉花        1109    27490      27950      27320      27650      27730      －10        －0.04    1396552    251938    11558
　　早籼稻      1105    2356        2360        2348        2351        2354        －17        －0.72    30976        95982      －8
　　菜籽油      1105    10136      10156      10030      10070      10092      －104      －1.02    57158        95356      －684
　　白糖        1109    6589        6705        6581        6672        6661        67          1.01      1062768    400350    5468
　　PTA      1105    9776        9836        9704        9752        9788        －100      －1.02    402552      216302    －5276
　　强麦        1109    2740        2751        2734        2738        2743        －13        －0.47    26700        48060      －654
　　统计制表：本报记者王超

