2家华夏系基金五年5只压箱品种解密
　　2家华夏系基金分别为华夏大盘精选、华夏红利混合型基金，这5只股票分别为峨眉山A、岳阳兴长、广钢股份、乐凯胶片、欧亚集团
　　机构“压箱底”解密系列④
　　■本报记者  任小雨  袁 辉
　　连续5年压箱峨眉山A  
　　《证券日报》市场研究中心和上海财汇数据统计显示，峨眉山A一直以来是王亚伟的重仓股，截至2010年三季度，被华夏系的两只基金重仓持有5年以上。其中，华夏大盘精从2006年二季度开始一直持有，连续18个季度现身前十大流通股东，在2009年一季度以持有1092.47万股位列第一大流通股股东。在这五年当中，华夏大盘精选其持仓数量均以减持为主，套现7次。尽管在华夏大盘精选的去年四季报未现身，该基金也有可能在峨眉山A的前十大流通股东中出现。与此同时，华夏红利混合型基金已连续重仓长达16个季度，华夏系长期看好公司股票的迹象明显。
　　在这五年中，华夏大盘精选经历了7次减仓和4次增仓，其持股市值时高时低，该股股东于2006年三季度入驻峨眉山A，此时正是牛市行情，华夏大盘精选的不断套现，所持财富逐步上升。统计显示，华夏大盘精选的7次套现分别为：第一次是2007年一季度，减持145.55万股，套现金额为1807.79万元。第二次是2007年四季度，减持172.44万股，套现金额为2819.41万元。第三次是2008年一季度，减持145.55万股，套现金额为3.47万元。第四次是2008年三季度，减持19.63万股，套现金额为3.35万元。第五次是2009年二季度，减持92.47万股，套现金额为908.05万元。第六次是2010年二季度，减持100.00万股，套现金额为1702万元。第七次是2010年三季度，减持110.00万股，套现金额为2198.95万元，合计套现财富为9442万元。
　　尽管多次减持，但该基金依旧对峨眉山A不离不弃的长期投资理念，公司股价自2006年三季度末以来累计上涨了138.26%，该股不仅股价上涨翻倍，而期间股价震荡高达240.6%，华夏大盘精选套现次数较多，也让该基金赚了大钱，在所有华夏系基金重仓的股票中涨幅位列第四。
　　《证券日报》市场研究中心和上海财汇数据统计显示，华夏红利混合型基金最早建仓峨眉山A最早出现在2006年末，当年末，华夏红利混合型基金持仓公司股票620.67万股，持股比例为2.64%，以当年末的市价计算的持股市值高达5952.19万元。其后五年中，虽然华夏红利混合型基金的持仓数额时有变化，但其长期持有的意图也非常明显。在16个季度中，其持股数量最多时也出现在2008年二季度，高达901.77万股，以当季末市价7.01元计算的持股市值高达6321.40万元，同时该季度也是其持股比例最大的时期，高达3.83%；其持股数量最少的时期是在2009年三季度，仅为360万股，以当季末市价8.64元计算的持股市值为3110.40万元，同时该季度也是其持股比例最小的时期，仅为1.53%。
　　从基本面上看，其2010年前三季度实现净利润8618.74万元，同比增长34.10%，2009年净利润8385.76万元，同比增长275.56%，2008年净利润2232.82万元，同比减少51.82%，2007年净利润4635.01万元，同比增长12.34%，2006年净利润4113.15万元，同比增长7.83%；相应地，其近五年的基本每股收益比较乐观，2010年前三季度为0.1476元，2009年为0.3566元，2008年为0.0949元，2007年为0.1971元，2006年为0.1749元。
　　显而易见的，华夏大盘精选基金和华夏红利混合型基金的投资步调在一定程度上比较一致，虽然这五年中峨眉山A经历了熊市的洗礼，但华夏系并没有拔腿走开，两方共同见证了公司股价2008年11月跌深至4.5元和2010年9月猛涨至23.05元的投资周期。
　　金百灵投资分析师秦洪表示，峨眉山的优势在于拥有中国佛教名山的景点门票销售以及分成的权利。而景点门票具有极强的抗通胀能力，根据以往经验显示，景点门票价格有四、五年的提价周期，以抵抗通胀的压力。尤其是进入到新一轮经济增长周期之后，景点门票价格有进一步上浮的冲动。与此同时，峨眉山也积极拓展利润增长点，峨眉雪芽的茶叶前景也不错，故可积极跟踪之。
　　华夏红利混合型连续5年坚守峨眉山A
　　日期              持股数量(万股)    持股比例(%)    增减仓(万股)    持股市值(万元)
　　2006年12月31日    620.67            2.64           -                 5952.19
　　2007年3月31日     400.27            1.7            -220.40           4971.37
　　2007年6月30日     645.38            2.74           245.10            7183.03
　　2007年9月30日     849.69            3.61           204.31            14368.22
　　2007年12月31日    799.69            3.4            -50.00            13074.90
　　2008年3月31日     839.36            3.57           39.67             10609.46
　　2008年6月30日     901.77            3.83           62.41             6321.40
　　2008年9月30日     901.77            3.83           未变              5284.36
　　2008年12月31日    901.77            3.83           未变              4986.78
　　2009年3月31日     586.84            2.5            -314.93           5076.16
　　2009年6月30日     460.00            1.96           -126.84           4517.20
　　2009年9月30日     360.00            1.53           -820.00           3110.40
　　2009年12月31日    460.00            1.96           100.00            5888.00
　　2010年3月31日     373.33            1.59           -86.67            6092.80
　　2010年6月30日     373.33            1.59           未变              6354.13
　　2010年9月30日     373.33            1.59           未变              7462.93

