百亿股基业绩严重分化 首尾差距超35%
　　本报记者 游敏常
　　日前，又一只百亿规模的基金——华商策略精选诞生，这已经是国内基金业有史以来成立的第28只百亿份额的偏股类基金。尽管新基金热销是好事，但要管好百亿规模基金却并不容易。
　　“基金规模越大，投资策略就越受到限制，一般基金经理感觉50亿元就是分水线，50亿元以上规模和50亿以下规模的基金在操作风格上就有很大的不同。通常来说，中小规模的基金比较看重其选股能力，较大规模基金则更注重大类资产的配置。”德圣基金研究中心首席基金分析师江赛春表示。他强调投资者在选择基金时一定要考虑基金规模。
　　其实，由于持续营销以及资产规模扩张等因素，根据WIND数据统计，截至11月9日，市场上总共有66只规模在百亿元以上偏股类基金。不过，这些基金今年以来仅录得6.66%的平均回报率(剔除指数类基金)，低于同类基金业绩水平，后者年初以来平均回报率达 9.86%，与此同时，百亿基金业绩分化加剧，首尾差距达35%。
　　股市反弹基金销售回暖
　　第28只百亿股基现身
　　尽管由于持续营销等因素，目前市场上百亿以上规模的基金并不算太少，但“根正苗红”、发行规模超过百亿的并不太多。《证券日报》基金周刊根据WIND数据统计，截至11月10日，有史以来，总共出现了28只发行规模在百亿以上的偏股基金。
　　其中，海富通收益增长是基金发行史上第一只真正意义上的百亿规模基金，该基金成立于2004年3月12日，募集规模130.74亿份。3天以后，另外一只百亿以上规模的新基金——华夏经典配置也宣告成立，发行规模121.49亿份。
　　2005年熊市来临，向来“靠天吃饭”的新基金遭受冷遇，市场上再难见到百亿新基金的身影。随后两年，随着A股扬起牛蹄，百亿新基金突然遍地开花。 2006年，广发策略优选、易方达价值精选、南方绩优成长、华夏优势增长、工银瑞信稳健成长、嘉实策略增长等6只百亿规模的新基金接连成立，发行份额分别为184.18亿份、117.91亿份、124.77亿份、141.02亿份、122.29亿份、419.17亿份。
　　2007年，基金销售高烧不退。当年一口气成立了14只百亿基金，分别是长盛同智、鹏华动力增长、易方达价值成长、南方成份精选、广发大盘成长、景顺长城精选蓝筹、博时新兴成长、泰达红利市值优选、长城品牌优选、交银蓝筹股票、中邮核心成长、长盛同德、华夏行业精选、易方达科讯等，成立规模均在100亿-份200亿份之间。
　　接下来的2008年，基金发行跟随熊市进入冰河时期，百亿新基金销声匿迹，直至2009年，百亿股基金才再现“江湖”。2009年 7月10日，规模达247.71亿份的华夏沪深300宣布成立。此后，又有嘉实回报灵活配置、易方达沪深300、易方达深证100ETF联接、华商盛世精选等5只百亿规模基金相继成立。2010年1月9日，今年以来第一只百亿股基——华商策略精选成立，成为史上第28只成立规模超过百亿的基金。
　　牛熊转换
　　百亿基金不复当年神勇
　　尽管这些百亿基金成立时都是风光一时，但正式运作起来后想继续风光却并非易事。根据WIDN数据统计，这些百亿规模基金中，有8只基金成立至今(截至 11月9日)，回报率仍为负值。这8只基金除了华夏沪深300成列于2009年7月10日以外，其余7只均在2007年股市高位时成立。
　　不过，庆幸的是，除了长城品牌优选、华夏沪深300、易方达沪深300等4只基金以外，其余24只基金均跑赢了业绩比较基准。其中，华夏经典配置、华夏优势增长和海富通收益增长、广发策略优选和易方达价值精选更是分别跑赢业绩比较基准214.26%、125.87%、112.17%、109.59% 和 100.62%。
　　经历了市场种种考验之后，这些发行百亿的基金已不复当年模样。截至2010年9月30日，除了中邮核心成长、博时新兴成长、易方达价值成长、长城品牌优选、交银蓝筹股票、华夏沪深300和南方成分精选等7只基金以外，其余20只基金的份额较成立时出现不同程度的“缩水”，其中，份额减少较多的是嘉实策略增长和广发策略优选、华夏经典配置，分别减少了329.05亿份、110.46亿份和105.77亿份。
　　“巨无霸”今年表现一般
　　要想管好不容易
　　当然，若从资产管理规模来看，百亿规模的基金远不止28只。统计显示，截至11月9日，市场上总共有66只资产净值在百亿元以上的基金(以9月30日公布份额和11月9日单位净值相乘得出的结果，不包括华商策略精选)，其中净资产规模靠前的主要是嘉实沪深300、易方达价值成长、广发聚丰，粗略计算，它们的净资产规模分别为397.41亿元、315.45亿元和297.73亿元。
　　江赛春表示，由于持续营销以及净值增长的因素，市场上百亿元以上规模的基金已不在少数。他强调，尽管这些大规模基金投资灵活性不如中小规模基金，但并不意味着它们的回报率就不如后者，关键还得看基金经理的投资经验和能力。
　　然而，百亿级别的基金今年表现却是一般。根据WIND数据统计显示，这66只基金平均净值增长率为5.86%，剔除其中9只被动管理基金后，其余57只基金今年平均回报率为6.66%。
　　另外，百亿股基俱乐部业绩分化继续加剧。其中业绩佼佼者，如华夏优势增长、嘉实策略增长、嘉实主题精选，年初以来回报率已经达到25.9%、25.5%、21.86%。业绩殿后的百亿级基金年初至11月9日净值缩水9.3%，与头名的华夏优势增长相差超过35%。
　　部分百亿募集规模股基一览
　　证券代码     证券简称                基金成立日    发行总份额               最新份额          份额变化           自成立日起截止2010-11-9回报率(%)
　　[单位] 份
　　000061.OF    华夏盛世精选            2009-12-11    18,710,200,000           16,448,681,154    -2,261,518,846     6.9
　　110019.OF    易方达深证100ETF联接    2009-12-01    18,924,980,000           17,220,367,572    -1,704,612,428     8.9
　　110020.OF    易方达沪深300           2009-08-26    16,746,250,000           12,797,345,894    -3,948,904,106     5.9
　　070018.OF    嘉实回报灵活配置        2009-08-18    10,103,610,000           4,071,116,671     -6,032,493,329     18.27
　　000051.OF    华夏沪深300             2009-07-10    24,771,960,000           27,369,808,728    2,597,848,728      -0.9
　　110029.OF    易方达科讯              2007-12-18    11,832,910,000           8,492,063,831     -3,340,846,169     -8.4601
　　160314.OF    华夏行业精选            2007-11-22    12,424,080,000           11,262,133,173    -1,161,946,827     7.1016
　　519039.OF    长盛同德                2007-10-25    10,823,860,000           10,490,747,724    -333,112,276       -0.4098
　　590002.OF    中邮核心成长            2007-08-17    14,956,630,000           32,875,911,495    17,919,281,495     -19.838
　　519694.OF    交银蓝筹股票            2007-08-08    11,743,880,000           14,661,058,366    2,917,178,366      -7.46
　　200008.OF    长城品牌优选            2007-08-06    11,385,320,000           15,657,753,788    4,272,433,788      -15.89
　　162209.OF    泰达宏利市值优选        2007-08-03    11,868,700,000           8,881,083,503     -2,987,616,497     -11.75
　　050009.OF    博时新兴成长            2007-07-06    13,505,780,000           23,581,214,656    10,075,434,656     30.2537
　　260110.OF    景顺长城精选蓝筹        2007-06-18    14,722,380,000           13,263,412,037    -1,458,967,963     -5.5
　　270007.OF    广发大盘成长            2007-06-13    14,851,700,000           14,137,653,487    -714,046,513       4.02
　　202005.OF    南方成份精选            2007-05-14    10,645,270,000           12,640,925,403    1,995,655,403      8.0232
　　110010.OF    易方达价值成长          2007-04-02    10,874,940,000           18,846,054,243    7,971,114,243      73.89
　　160610.OF    鹏华动力增长            2007-01-09    11,022,730,000           7,641,180,836     -3,381,549,164     80.09
　　160805.OF    长盛同智                2007-01-05    10,839,000,000           3,129,330,248     -7,709,669,752     85.2519
　　070011.OF    嘉实策略增长            2006-12-12    41,916,950,000           9,012,415,151     -32,904,534,849    85.46
　　481004.OF    工银瑞信稳健成长        2006-12-06    12,229,370,000           4,327,571,637     -7,901,798,363     96.86
　　000021.OF    华夏优势增长            2006-11-24    14,102,030,000           8,995,504,502     -5,106,525,498     216.9
　　202003.OF    南方绩优成长            2006-11-16    12,477,490,000           7,977,864,908     -4,499,625,092     162.38
　　110009.OF    易方达价值精选          2006-06-13    11,791,050,000           6,085,857,082     -5,705,192,918     239.7
　　270006.OF    广发策略优选            2006-05-17    18,417,980,000           7,372,145,511     -11,045,834,489    239.72
　　

