已披露年报数据显示QFII积极调仓 增持27只股票 
　　□本报记者 孙见友
　　截至3月2日，沪深两市共有235家上市公司披露09年年报，其中，QFII新进或增持27只股票，而减持或退出了另外14只股票。通过这一系列调仓动作，QFII在今年以来大盘震荡下行中所受的冲击明显减轻。
　　QFII持股市值48亿元
　　截至3月2日，沪深两市共有235家上市公司披露09年年报，QFII出现在35家上市公司的十大流通股东名单中，其09年四季度末合计持股数量为2.71亿股，按3月2日的收盘价计算，持股市值为48.14亿元。就以上可比的235家公司来看，去年三季度QFII合计持股数量为2.45亿股，两相对照可以发现，去年四季度以来QFII环比增仓10.61%。
　　将上市公司09年的三季报和年报进行对照可以发现，截至09年四季末，QFII新进持有18只股票，增持9只股票，3只股票的持股数量未发生变化，减持5只股票，并退出了9只股票的十大流通股东行列。
　　绩优股备受青睐
　　经过以上调仓，QFII在今年以来大盘震荡下行中所受的冲击明显减轻。统计显示，今年以来上证指数在震荡中下跌6.23%，以四季度末的持股数量进行测算，今年以来QFII的合计持股市值损失约8668万元，损失幅度不足1.8%，明显小于同期大盘的跌幅。
　　进一步统计可以发现，QFII去年四季度新进或增持的27只股票中，今年以来除凌钢股份、大龙地产、盐湖集团和中孚实业4只股票股价跑输大盘外，其他23只股票的股价均跑赢大盘。在股价跑赢大盘的23只股票中，今年以来有15只股票的股价出现上涨，涨幅超过10%的达9家之多。其中，士兰微今年以来逆市大涨27.60%，在四季度QFII新进或增持的27只股票中表现最为出色，使QFII今年以来轻松收获1010万元的账面盈利。
　　不过，士兰微并不是今年以来为QFII收获账面盈利最大的公司。QFII去年四季度新买入2547万股燕京啤酒的股份，以3月2日收盘价计，其今年以来为QFII贡献5221万元账面盈利，燕京啤酒也由此成为今年以来为QFII贡献账面盈利最大的公司。另外，在QFII去年四季度新进或增持的27只股票中，三安光电、獐子岛、国电南瑞和芜湖港今年以来上涨19.67%、24.66%、14.76%和21.57%，分别为QFII贡献2857万元、2370万元、2234万元和1591万元账面盈利。
　　值得注意的是，3只QFII的持股数量未发生变化的股票，也都为QFII贡献了不小的账面盈利。其中，中国卫星和科达机电今年以来分别为QFII贡献4038万元和2388万元账面盈利，显示机构“以静制动”的功力也相当不错。
　　此外，QFII去年四季度减持或退出的14只股票中，今年以来有8家公司的股价出现下跌。其中，世茂股份和西南证券分别下跌12.54%和11.53%。在14家公司中，QFII去年三季度末曾持有宁波银行10729.95万股股份，去年四季度末其持股数量锐减为7669.85万股。尽管如此，由于今年以来宁波银行大幅下跌8.91%，QFII的账面损失依然达到11965万元，成为今年以来QFII持股损失最大的一家公司。
　　分析人士指出，就QFII增持或新进的27只股票来看，有77%的公司09年业绩实现增长，显示业绩增长势头良好的公司始终为QFII所偏爱。同时，在去年四季度的调仓中，QFII增持了机械设备类、电子元器件类和化工类等行业景气回升的公司，并适当减少了部分金融类公司的配置。
　　2009年四季度QFII增持或新进股票一览
　　代码 简称 09年四季末持股(万股) 09年三季末持股(万股) 今年以来涨幅(%) 行业
　　600460 士兰微 325.05 307.05 27.60 电子元器件
　　002069 獐子岛 256.04 126.06 24.66 农林牧渔
　　000939 凯迪电力 323.11 － 22.09 公用事业
　　600575 芜湖港 485.06 － 21.58 交通运输
　　600703 三安光电 275.27 120.99 19.68 电子元器件
　　000428 华天酒店 361.35 273.47 18.16 餐饮旅游
　　600406 国电南瑞 309.09 － 14.77 机械设备
　　000729 燕京啤酒 2547.09 － 10.92 食品饮料
　　600261 浙江阳光 490.74 － 10.22 电子元器件
　　002082 栋梁新材 187.96 47.92 9.17 建筑建材
　　002033 丽江旅游 20.00 － 7.79 餐饮旅游
　　002121 科陆电子 372.59 － 7.07 机械设备
　　002088 鲁阳股份 417.63 － 5.54 化工
　　000150 宜华地产 40.18 － 5.04 房地产
　　000839 中信国安 360.00 － 3.64 化工
　　002042 华孚色纺 491.20 258.70 －0.62 纺织服装
　　600760 东安黑豹 135.59 － －1.43 交运设备
　　600416 湘电股份 239.18 － －1.62 机械设备
　　002282 博深工具 20.60 － －1.89 机械设备
　　000511 银基发展 191.69 － －2.62 房地产
　　600456 宝钛股份 158.72 － －3.27 有色金属
　　600425 青松建化 669.32 290.00 －4.08 建筑建材
　　600642 申能股份 951.10 － －4.66 公用事业
　　600595 中孚实业 253.33 － －6.58 有色金属
　　000578 盐湖集团 330.09 250.10 －7.21 化工
　　600159 大龙地产 907.44 － －10.47 房地产
　　600231 凌钢股份 1697.61 1503.67 －18.66 黑色金属

