四公司上半年规模排名飙升
　　基金公司规模排名前八的座次没有发生任何变化
　　证券时报记者 杨 磊
　　随着基金6月30日规模的公布，各家基金公司规模排名落定。摩根士丹利华鑫、华商、上投摩根和农银汇理4家基金公司规模排名飙升7个或7个名次以上，基金公司规模排名前八的座次没有发生变化，去年底第十名的银华基金公司上升至第九名。
　　大摩华鑫飙升15名
　　天相统计显示，截至6月底60家基金公司资产规模合计为21170.84亿元，比去年底资产规模减少了20.89%，43家基金公司的规模排名发生了变化，17家基金公司的规模排名未变。
　　摩根士丹利华鑫成为今年上半年规模增长最快也是规模名次提升最大的基金公司。据悉，2009年底时该公司只有32.59亿元，在60家基金公司中排名第58；而今年上半年末，该公司规模上升至95亿元，短短半年时间增长了191.49%，规模排名也提高到43名，提升了15个名次。
　　华商基金公司的规模和排名也提升很快，2009年底该公司以133.84亿元排名40，到了今年上半年末该公司以187.36亿元排名第33，半年的时间里规模增长了39.99%，规模排名增加了7个名次。
　　业内专家分析，摩根士丹利华鑫和华商今年上半年都是通过业绩带动基金公司规模增长，华商盛世成长基金上半年在银河证券标准股票型基金业绩中排名第一，大摩领先优势上半年名列偏股基金前十名。
　　上投摩根和农银汇理基金公司的规模排名上升也很快，其中上投摩根从去年底的第18名上升到第11名，农银汇理从去年底的第41名上升到第34名，都是上升了7个名次。
　　大公司座次稳定
　　大基金公司的规模座次十分稳定，前八名座次没有任何变化。华夏基金公司以2164.73亿元名列第1名，份额占全行业的10.23%，比去年底 9.93%的规模占比略有提升。
　　易方达、嘉实、博时和南方基金公司的资产规模依然保持在1000亿元以上，名列基金公司规模第2到第 5名，资产管理规模分别为1351.3亿元、1335.51亿元、1104.73亿元和1012.91亿元。广发、大成和华安基金公司的资产规模排在第6 到第8名。
　　银华基金公司异军突起，资产规模已经超过交银施罗德基金公司，排名行业第9，并且和第8名的华安基金公司只相差20亿元左右。该基金公司今年上半年末资产规模为650.52亿元，尽管比去年年底规模下降了13%左右，但明显小于行业平均21%左右的规模降幅。
　　前十五大基金公司规模
　　基金公司 2010年中规模(亿元) 2009年年底规模(亿元) 2009年中规模(亿元)
　　华夏 2164.73 2657.48 2243.75
　　易方达 1351.30 1595.22 1156.14
　　嘉实 1335.51 1564.21 1229.05
　　博时 1104.73 1504.55 1402.90
　　南方 1012.91 1222.71 1163.46
　　广发 854.78 1104.71 982.08
　　大成 759.63 1060.46 918.57
　　华安 672.25 930.18 790.62
　　银华 650.52 747.10 597.73
　　交银施罗德 554.18 923.92 625.48
　　上投摩根 502.69 584.61 602.54
　　富国 497.43 653.62 576.51
　　汇添富 497.11 615.47 505.12

