近九成分级基金低风险份额折价
　　分级基金低风险份额收益稳健，可近期出现大面积折价，甚至一只产品折价率超过10%。分析人士指出，加息预期是出现这一现象的主要原因，不过其中也蕴含着投资机会。
　　证券时报记者 胡晓
　　去年10月以来，部分分级基金的低风险份额二级市场价格连续下跌。数据显示，截至上周五，近9成分级基金低风险份额出现折价。
　　天相投顾数据统计显示，目前共有11只分级基金，其中瑞福优先和天弘添利A不上市交易。从9只上市交易的分级基金低风险份额折溢价率来看，截至上周五，去年10月份以来仅有兴全合润A保持溢价状态，溢价达4.2%。其余8只分级基金低风险份额均出现不同程度折价。其中折价幅度最高的为申万收益，折价率达到11.79%，该基金自去年11月上市以来，便一直处于折价状态。此外国联安双禧A和银华稳进折价率也超过了5%，分别达到7.87%和6.09%。
　　值得注意的是，不少分级基金的低风险份额是由于去年10月后二级市场价格的大幅下跌，而从溢价转为折价。截至去年10月8日，7只分级基金(申万收益和大成景丰A上市时间为去年10月底11月初)的低风险份额中有4只处于溢价状态，分别为国泰优先、长盛同庆A、银华稳进和国联安双禧A，溢价率分别达到1.16%、1.2%、2.35%和6.03%。短短2个月时间，便由溢价转为折价。
　　上海一家券商基金分析师指出，加息周期预期愈加明显可能是低风险基金大面积折价的主要原因。目前的分级基金中的低风险份额条款所规定的固定收益均在5.25%左右，加息预期的存在使持有者机会成本加大，原有投资者抛售、而买入需求不足导致了这类基金出现大面积折价且折价率上升。
　　此外，深圳一家券商分析师指出，不同的收益分配条款也会导致分级基金低风险份额折价率相差很大。长盛同庆A、国泰估值优先、富国汇利A、大成景丰A这些基金由于有明确的期限，到期后转为LOF基金，可单独赎回，还本的确定性非常高，因此这些基金在二级市场的价格走势相对较稳健。而国联安双禧A、银华稳进和申万收益这3只基金，由于没有确定到期期限，不能单独进行赎回，只有在二级市场卖出才能还本，还本不确定性很大，因此，二级市场价格相对与上述基金波动会更大。
　　低风险基金折溢价率一览
　　序号 名称 上周五折溢价率(%) 基金成立日 基金管理人 上市日
　　1 申万收益 －11.79 20101022 申万巴黎基金 20101108
　　2 双禧A －7.87 20100416 国联安基金 20100618
　　3 银华稳进 －6.09 20100507 银华基金 20100607
　　4 景丰A －4.26 20101015 大成基金 20101101
　　5 汇利A －3.85 20100909 富国基金 20101008
　　6 瑞和小康 －3.76 20091014 国投瑞银基金 20091119
　　7 国泰优先 －2 20100210 国泰基金 20100311
　　8 同庆A －0.73 20090512 长盛基金 20090526
　　9 合润A 4.2 20100422 兴业全球基金 20100531
　　数据来源/天相 制表人/胡晓

