五个月成交近3万亿元 螺纹钢夺得期市新人王
　　□本报记者 李中秋
　　上市刚满五个月的上海螺纹钢期货成交活跃，运行平稳。截至25日，该品种已累计成交2.9万亿元人民币。不仅如此，该品种近期成交量频频突破300万手/日，远远超过白糖期货上市当年200多万手/日的交易量，成为当之无愧的“新人王”。
　　成交持续火爆
　　上海期货交易所数据显示，自3月27日上市至8月25日，螺纹钢期货以2.9万亿元的成交额，位居今年以来上期所成交额第三位，交易金额仅次于铜和天然橡胶，且超过2007年《期货期权世界》评出的全球最受关注的品种——上海期锌(截至25日，该品种年度交易额为2.5万亿)。
　　伴随着本轮宏观经济“微调”预期，以及多空各方的分歧显现，近期螺纹钢期货也展示出了超强的交易活力。8月20日起的四个交易日中，螺纹钢期货平均成交达350万手/日，最高成交高达411万手之多，成为近期国内期市最为活跃的期货品种。螺纹钢期货的活跃交易，也吸引了各路资金积极参与。截至25日，螺纹钢期货持仓量高达105万手，在24日增仓近18万手的基础上，昨日该品种继续增仓3万余手。
　　业内人士认为，在首个合约尚未完成交割的情况下，螺纹钢期货能达到如此活跃程度，主要有三方面的原因，一是今年以来铁矿石谈判一波三折，使得钢材价格以此为题材展开较大波动；二是上半年以来货币政策宽松，宏观经济回暖，特别是房地产行业的持续走强，为钢材价格一轮反弹奠定基础；三是近期市场各方对宏观政策“微调”的判断差异，引起投资者和市场各方对钢材价格产生较为严重的分歧所致。
　　三大市场联动发展
　　钢材期货在5个月的时间内，尤其是近期价格波幅较大且交易活跃，引起各方关注。但钢铁行业人士表示，一个品种的成熟与功能发挥需要循序渐进的过程，不会一蹴而就，目前对钢材价格影响最大的仍然是宏观经济、现货需求等方面，而现货价格、电子盘和期货三大市场联动发展，可能成为未来我国钢材交易市场的主要方向。
　　在长城伟业分析师谢赵维看来，资金等因素对于钢材价格的影响相对有限，钢价涨跌最终还是由供需基本面所决定。表现在市场上就是，钢材期货上市近5个月以来，与现货价格以及电子盘价格三方互动，共同导演了钢材市场的涨跌行情。
　　谢赵维指出，从钢材现货、期货、电子盘三个市场的价格走势来看，并未显示某个市场价格长期主导其他市场的现象，6月初与7月初出现了两次期货价格领先现货价格上涨的情况，回顾这两个时点的基本面，不难发现，当时基本面的好转使得对于钢价上涨的预期逐渐形成，并且买入保值企业也预计到后市钢价可能出现较大的上涨风险，积极地参与到了钢材期货的保值交易中。
　　步入9月份，上海钢材期货将迎来首次交割，对此市场各方予以高度关注。业内人士普遍认为，由于我国期货市场已经进入成熟发展阶段，新品种的平稳交割几无悬念。国泰君安期货钢材研究中心主任翟旭指出，钢材期货上市以来运行良好，与现货市场价格走势吻合度高。可以发现，螺纹钢期货价格的走势和现货走势相关性非常之高，影响现货市场价格走势的因素在期货市场得以充分体现。期现两个市场受同样的基本面作用，期货市场和现货市场走势一致是我们利用期货市场开展套期保值的重要条件，因此，目前钢材期货与现货市场一致性也确保了期货风险回避功能的实现。
　　每日成交及持仓数据概览(单位：手)
　　品种 成交量? 品种 持仓量? 品种 持仓量变化?
　　螺纹钢 2763674 豆粕 1300982 白糖 54140
　　白糖 2219192 螺纹钢 1058974 螺纹钢 30484
　　豆粕 1303508 白糖 809450 聚乙烯 9292
　　铜 775782 豆油 599942 豆一 7674
　　豆油 705854 棕榈油 356522 PTA 3616
　　棕榈油 640262 玉米 353736 黄金 -1262
　　天然橡胶 526074 铜 343492 棉花 -1418
　　PTA 482702 豆一 307150 聚氯乙烯 -1732
　　豆一 340896 铝 283452 菜籽油 -2142
　　聚乙烯 314072 聚氯乙烯 185668 强麦 -2874
　　玉米 283526 锌 175048 棕榈油 -4276
　　聚氯乙烯 276612 燃料油 172684 铜 -4810
　　燃料油 270756 天然橡胶 156456 天然橡胶 -7354
　　锌 247604 强麦 143080 豆油 -8204
　　铝 174382 PTA 121124 豆粕 -9788
　　菜籽油 27832 菜籽油 105428 玉米 -14246
　　强麦 17666 聚乙烯 89652 燃料油 -14274
　　棉花 15782 棉花 43354 锌 -14880
　　黄金 10532 黄金 39202 铝 -17826

