上周同一天9基金获批 今年已有56只基金获批
　　吴敏
　　基金公司偏爱分级基金，14只分级基金排队待批
　　本报讯 (记者吴敏)证监会本周披露的最新数据显示，上一周的基金受理和审批中，4月6日一天证监会批准了9只新基金，今年以来已经有56只基金获批。
　　数据显示，4月6日当天获批的基金包括华宝兴业上证180成长ETF及其联接基金，博时深证基本面200ETF及其联接基金，金鹰中证技术领先基金共5只指数基金，以及嘉实领先成长、国海富兰克林策略回报、汇添富可转债、建信信用债基金。
　　证监会材料披露，此次获批的基金中，最早的申报于去年12月8日，最晚申报于12月27日，新基金从申报到获批的周期仍较长。
　　上一周基金公司还继续扩展着分级基金的范围。长盛基金上周新申报了同瑞中证200指数分级基金，而中欧基金也上报了盛世成长分级指数基金。
　　长盛和中欧基金申报分级产品，也使得目前已有的分级基金和待批分级基金总数达到25只。
　　部分基金公司对分级产品表现出特别的偏爱。银华基金目前正运作一只深证100指数分级基金，随后银华基金又在去年11月申报了中证等权重90指数分级基金，并在今年2月份获批。而在证监会最新披露的数据中，银华基金又申报了一只消费主题分级基金，以及一只中证内地资源主题指数分级基金。
　　待批的分级基金
　　申报公司 基金名称 申报日期
　　博时 通胀联动分级债券型基金 2010/11/25
　　中欧 鼎利分级债券型 2010/12/08
　　富国 天盈分级债券型 2010/12/15
　　天弘 丰利分级债券型 2010/12/17
　　长信 利鑫分级债券型 2010/12/30
　　银华 消费主题分级股票型 2011/2/1
　　泰达宏利 中证500指数分级基金 2011/2/16
　　长城 久兆中小板300指数分级基金 2011/3/4
　　信诚 沪深300指数分级基金 2011/3/10
　　工银瑞信 睿智中证500指数分级基金 2011/3/22
　　银华 中证内地资源主题指数分级基金 2011/3/25
　　国联安 双力中小板综指分级基金 2011/3/31
　　长盛 同瑞中证200指数分级 2011/4/6
　　中欧 盛世成长分级股票型 2011/4/7

