年内基金募资已超3200亿 指数基金规模遥遥领先 
　　□本报记者 江沂 深圳报道
　　牛市迎来基金大扩容，截至12月15日，今年以来成立的基金累计募集资金已经达到3209亿，其中指数型基金更是迎来大发展，募集规模前十的基金中，指数型基金占有六席。此外，目前尚有12只基金正在发行中，计划在今年年底结束募集。
　　下半年股基发行现井喷
　　据Wind资讯统计，截至本周二，今年已有116只新基金成立，其中股票型基金占据多数，共有69只，另外混合型基金也成立了16只，债券型基金有24只、货币型基金6只、保本型基金1只，总共募集资金达3209亿元。在牛市中，股票型基金成立的最多不足为奇，不过仔细观察就能发现，上半年债基发行尚能与股基平分秋色，但到了下半年基本上就只能让位于股票型基金了。
　　据Wind统计，上半年有11只债券基金发行，下半年仅有5只。据记者了解，除了营销方面的考虑，现行的基金审批制度也造成了下半年股票型基金发行“大塞车”的重要原因。一方面，由于基金产品报批周期长，在08年大部分基金公司发行状况不好的情况下，大多报批了债券型基金，但是09年股市触底反弹，获批的债券型基金集中在08年下半年到09年上半年发售，而在上半年大量股票型基金申报之后，却往往要到下半年才能获得审批，获批之后又要做一定程度的渠道准备，于是到下半年，大量的股票型基金集中发售情况就出现了。另一方面，权益类投资与固定收益类投资向来具有跷跷板效应，根据公告，自09年开始，债券型、货币型基金均不同程度遭遇到净赎回，保本基金也难逃一劫，在这种情况下，这些基金的发行规模均有所萎缩，大大不如08年的火爆。
　　指数型基金成为募集大户
　　如果为今年以来基金募集规模排个序，就可以发现，指数型基金及连接基金异军突起，募集资金量远超其他类型的基金。截至12月15日，今年已经成立的指数型基金共有22只，募集资金规模最大的前四个基金有三个为指数型基金及连结基金，分别是华夏沪深300、易方达深证100ETF联接、易方达沪深300，募集规模分别为276.93亿、189.24亿和167.46亿份。跻身前十的还有汇添富上证综指、广发中证500、交银上证180联接，指数型基金总共占据了前十中的六席，急速扩容的态势相当明显。
　　“赚钱效应”被普遍认为是引领指数型基金大扩容的最大原因。从指数触底反弹之后，大部分的投资者投资收益在一二季度严重落后于指数型基金，因此，前两个季度指数型基金的募集规模急剧扩大，但到了八九月份，十只指数型基金同时发售，募集资金量就出现了下降。从统计数据看，十月份成立的指数型基金规模仅有一只超过30亿份。
　　在指数型基金发行上，“强者恒强”的趋势依然十分明显，以今年沪深300基金为例，募集资金最少的沪深300基金份额仅有6.7亿份，而募集规模最大的达到276亿，差距达到40倍。其他基金也是如此，尽管今年的股票型基金发行井喷，但是从发行规模看，有半数基金发行规模并没有超过20亿，而从发行时间看，往往小规模的基金发行的时间反而更长。
　　年底“后备军”加紧冲刺
　　尽管离09年末还有十几天，但新基金的发行仍然热火朝天，“冲刺”的气氛十分浓烈。据晨星统计，目前在渠道发行的基金共有13只，之中有12只均计划在今年年底结束募集。嘉实、博时、易方达等都加入了募集资金的战团中。
　　从本月已经完成的基金发行先例看，基金募集资金量较前两个月有了飞跃，“强者恒强”的因素是主要原因，华夏盛世基金短时间募集187亿元的先例也给后来者以鼓舞。另外值得注意的是，华富中证100、博时上证超大盘基金的出台也充分借“风格转换”造势。四季度市场表现看，中小盘股表现明显超越大盘股，大盘股的平均市盈率处于低位，因此，目前正在发行的一些大盘指数基金也趁这个时机大力倡导“蓝筹投资”。与此同时，银河沪深300，博时上证超大盘等基金则瞅准了股指期货以及融资融券等最近热门的话题，提出未来有望作为融资融券业务的优质担保证券以及与指数、成份股之间套利工具的概念，以期望在抢发的形势下顺利募集资金。
　　09年以来月度基金发行规模
　　09年以来新基金类型分布
　　代码 名称 发行份额(亿份) 截止日份额(亿份) 认购 投资
　　截止日期 类型
　　000051.OF 华夏沪深300 247.72 276.93 2009－7－8 股票型
　　110019.OF 易方达深证100ETF联接 189.25 189.25 2009－11－27 股票型
　　000061.OF 华夏盛世精选 187.10 187.10 2009－12－9 股票型
　　110020.OF 易方达沪深300 167.46 167.46 2009－8－21 股票型
　　070018.OF 嘉实回报灵活配置 101.04 101.04 2009－8－14 混合型
　　470007.OF 汇添富上证综指 90.98 90.62 2009－6－26 股票型
　　150007.SZ 长盛同庆B 88.12 88.12 2009－5－7 股票型
　　050012.OF 博时策略灵活配置 88.04 88.04 2009－8－7 混合型
　　162711.OF 广发中证500 86.36 86.36 2009－11－20 股票型
　　660004.OF 农银汇理策略价值 77.89 77.89 2009－9－25 股票型
　　519686.OF 交银180治理ETF联接 70.90 70.90 2009－9－23 股票型
　　270021.OF 广发聚瑞 70.71 68.63 2009－6－12 股票型
　　161810.OF 银华内需精选 44.37 66.16 2009－7－31 股票型
　　150006.SZ 长盛同庆A 58.75 58.75 2009－5－7 股票型
　　165309.OF 建信沪深300 53.26 53.26 2009－10－30 股票型
　　160211.OF 国泰中小盘成长 51.11 51.11 2009－11－18 股票型
　　159903.OF 南方深成ETF 41.28 41.28 2009－11－27 股票型
　　590003.OF 中邮核心优势 39.42 39.42 2009－10－26 混合型
　　217012.OF 招商行业领先 44.75 37.13 2009－6－16 股票型
　　531009.OF 建信收益增强C 52.11 37.02 2009－5－27 债券型

