破发成常态 基金打新很受伤
　　□本报记者 孙见友
　　5月25日首发上市的广联达全日下跌2.26%，陷入破发窘境，新股破发再度引发投资者的普遍关注。事实上，2月26日以来首发上市的新股中，当前破发股已上升至25只。不幸的是，破发股的网下配售股份尚未进入解禁期，使180只基金被套资金达 25.71亿元，浮亏3.61亿元，浮亏比率高达14.03%。
　　2月26日以来三成新股破发
　　今年2月26日以来，A股市场共有84只新股首发上市(不含分拆上市的吉林高速和龙江交通)。截至5月25日收盘，当前破发股数量已上升至25只，占比接近三成。其中，华泰证券的最新收盘价较发行价下跌21.65%，破发幅度居2月26日以来首发上市的新股首位。紧随其后的宁波GQY、北京利尔和建研究集团等8只新股当前的破发跌幅均超过10%，纷纷步入破发情况相对严重的新股行列。相比较而言，远东传动、国创高新和豫金刚石当前收盘价较发行价缩水率不足2%，其破发程度最轻。
　　进一步统计分析发现，由于发行价和发行估值高企，当前中小板和创业板新股已然成为破发的“高危区”。2月26日以来，4只首发上市的主板新股(不含分拆上市的吉林高速和龙江交通)，只有华泰证券1只破发。但同期首发上市的28只创业板新股和52只中小板新股，却分别有10只和14只出现破发，破发比率分别高达35.71%和26.92%。
　　“打新”账面损失严重
　　2月26日以来首发上市的新股纷纷破发，使参与网下配售的机构投资者很“上火”。由于以上25只破发新股的网下配售股份均尚未进入解禁期，这使参与网下配售机构均出现不同程度的账面浮亏。统计显示，以上25只破发新股合计套牢网下配售机构的资金109.38亿元，当前其账面浮亏已达到14.89亿元。
　　在参与网下配售的机构中，基金向来表现踊跃且充当了中流砥柱的角色。不过，随着以上25只新股纷纷破发，基金当前的整体账面浮亏也十分严重。统计显示，共有180只基金参与了以上25只破发新股的网下配售，合计获配股份为8804.49万股，这使基金当前被套牢资金为25.71亿元，账面浮亏达到3.61亿元，浮亏比率超过14.03%。令人哭笑不得的是，2月26日以来，上证指数的跌幅也仅为14.31%。两相对照，前期稳赚不赔的打新行动，现在看来似乎并不保险，其风险甚至不比直接参与二级市场小。
　　基金浮亏相对集中
　　纵观以上180家基金，当前各家的账面浮亏相差十分悬殊。以5月25日收盘价测算，当前华夏希望债券基金、华夏沪深300指数基金、信达澳银领先增长股票基金和华夏大盘精选基金的账面浮亏损高达5299万元、4305万元、1937万元和1728万元。与以上基金相比，富国天成红利灵活配置混合基金、金元比联丰利债券基金和易方达行业领先企业股票基金当前的账面浮亏仅为1.93万元、1.89万元和1.45万元，在以上180只基金中浮亏最小。
　　进一步统计发现，以上参与25只破发股的180只基金分属于52家不同的基金公司。而就这52家基金公司来看，其参与打新的账面浮亏整体呈现相对集中状态。按5月25日收盘价测算，华夏基金公司、国联安基金公司、大成基金公司、信达澳银基金公司和银华基金公司被套牢资金分别为83151万元、16454 万元、13198万元、9151万元和8911万元，账面浮亏分别为14712万元、3116万元、1942万元、1940万元，1637万元。这五大基金公司当前被套牢资金合计为13.09亿元，占当前基金公司被套资金总额的比重为50.91%；合计浮亏为2.33亿元，占当前基金公司账面亏损总额的比重更是高达64.75%，整体集中状态十分明显。
　　2009年以来各月份中小板新股平均首日涨幅情况
　　今年上市新股股价与发行价的溢价率分布
　　网下申购股份尚未解禁的破发新股
　　证券代码 证券简称 收盘价(元) 首发价格(元) 破发比例(%) 上市首日涨跌幅(%) 首发
　　上市日期
　　601688 华泰证券 15.67 20.00 －21.65 5.30 2010－02－26
　　300076 宁波GQY 54.19 65.00 －16.63 5.02 2010－04－30
　　002392 北京利尔 35.82 42.00 －14.71 22.50 2010－04－23
　　002398 建研集团 24.08 28.00 －14.00 3.39 2010－05－06
　　002404 嘉欣丝绸 19.08 22.00 －13.27 －1.91 2010－05－11
　　300082 奥克股份 74.10 85.00 －12.82 －9.91 2010－05－20
　　300068 南都电源 29.39 33.00 －10.94 36.67 2010－04－21
　　002394 联发股份 40.27 45.00 －10.51 37.78 2010－04－23
　　002403 爱仕达 16.86 18.80 －10.32 0.05 2010－05－11
　　002391 长青股份 46.39 51.00 －9.04 45.10 2010－04－16
　　300079 数码视讯 54.80 59.90 －8.51 4.04 2010－04－30
　　002397 梦洁家纺 47.20 51.00 －7.45 17.98 2010－04－29
　　300067 安诺其 19.88 21.20 －6.23 36.08 2010－04－21
　　300083 劲胜股份 33.87 36.00 －5.92 －5.67 2010－05－20
　　002399 海普瑞 139.80 148.00 －5.54 18.36 2010－05－06
　　002395 双象股份 23.70 25.00 －5.20 40.40 2010－04－29
　　300057 万顺股份 17.51 18.38 －4.73 14.20 2010－02－26
　　002408 齐翔腾达 27.72 28.88 －4.02 －7.55 2010－05－18
　　300063 天龙集团 27.78 28.80 －3.54 36.74 2010－03－26
　　002400 省广股份 38.45 39.80 －3.39 10.43 2010－05－06
　　300081 恒信移动 37.85 38.78 －2.40 1.29 2010－05－20
　　002410 广联达 56.69 58.00 －2.26 －2.26 2010－05－25
　　300064 豫金刚石 20.91 21.32 －1.92 36.40 2010－03－26
　　002377 国创高新 19.55 19.80 －1.26 34.19 2010－03－23
　　002406 远东传动 26.30 26.60 －1.13 －6.43 2010－05－18

