经济回暖预期提振商品走势
　　□本报记者 王超 北京报道
　　上周(4月6日-10日)，大宗商品无视美元指数“逞强”，在宏观经济逐渐好转预期的提振下普遍震荡回升。
　　具体而言，周一，美国股市下跌令全球经济和需求前景承压，大宗商品受累普跌。但随后三个交易日中多数品种稳步回升，其中铜、铝和铅期价涨势显著，黄金和部分农产品延续跌势，特别是芝加哥小麦期货连收四日阴线。
　　有趣的是，此前与大宗商品一直“较劲”的美元指数，上周似乎被商品市场所“遗忘”，表明商品市场更多地希望从宏观基本面寻求指引。
　　总体走势先抑后扬
　　从走势上看，周一几乎所有品种都收于长阴，其原因是美股当日暴跌令经济复苏前景蒙上阴影。投资大鳄索罗斯6日接受路透财经电视访问时还表示，美国经济正在经历一场“持续的下滑”，今年不会复苏。周二，美股再度收跌，道琼斯工业指数收跌186.29点或2.34%，报7789.56点，多数品种也继续回落，但跌势显著放缓；随后两个交易日，随着全球股市止跌反弹，商品市场也强劲回升。
　　除美国方面的经济数据外，“中国因素”仍是商品市场最为关注的指标之一。据全国企业景气调查结果显示，一季度全国企业景气指数为105.6，与08年四季度相比回落1.4点，降幅明显收窄(08年四季度比三季度回落21.6点)；中国汽车工业协会发布最新统计数据显示，一季度中国汽车总销量达到267.88万辆，为全球汽车销量第一；3月份PMI指数(中国制造业采购经理指数)达52.4，一般认为，PMI指数在50以上，反映制造业经济总体扩张；低于50，则反映制造业经济总体衰退。自2008年12月份以来，PMI指数已经连续4个月回升。多数市场人士据此表示，上周最后两日的大幅反弹更应归功于中国宏观经济的改善。
　　美国经济不再狂跌
　　中美越来越多的利好数据不断提振商品市场信心，有分析师表示，这可能推动已经进入良好上升态势的大宗商品向新的高点继续进发。
　　“08年秋天以来，美国经济好像‘一个球从桌上掉到地上’，现已不再有那种狂跌的感觉。”美国白宫首席经济顾问桑莫斯指出，受政府财政刺激与救助措施提振，美国经济将在未来数月结束狂跌之势。
　　美国总统奥巴马10日也发表了令人振奋的讲话，称很多迹象显示经济开始好转。他称，从抵押贷款和再融资需求的增长，一些信贷市场包括联邦支持的小型企业贷款市场的解冻都可以看出经济展现曙光。而中国国务院总理温家宝10日在泰国也表示，中国经济开始显现出积极变化，形势发展比预料的要好。他表示，此前实行的各项政策措施已初步见效：投资大幅度增加，消费稳定增长；一些行业和企业的困难局面开始扭转，经营状况回暖；信贷投放增长很快，由于银行整体健康稳定，货币流动性也充裕。
　　就上周而言，美国多数金融市场10日因耶稣受难日而休市，除美国之外的部分市场13日将继续休市。可关注的重点有：美国金融机构第一季度财务报告，其中包括高盛、摩根大通和花旗集团，以及英特尔、谷歌、强生、通用电气(GE)等大企业以及运输企业CSX Corp和AMR Corp。
　　此外，美国财政部还可能公布19家大型银行压力测试结果。而且，全球主要经济体第一季度GDP增长数据4月开始将陆续公布，美国汽车巨头克莱斯勒及通用的命运将分别于4月底和5月底前揭晓。投资者应密切注意其对商品市场的影响。
　　Observation
　　一周期市监测
　　一周大宗商品涨跌统计
　　品种 4月6日(开盘) 4月9日(收盘) 周涨跌(%) 单位 交易所
　　大豆 995.20 1007.00 1.19 美分/蒲式耳 CBOT
　　玉米 404.40 390.20 -3.51 美分/蒲式耳 CBOT
　　小麦 567.00 522.00 -7.94 美分/蒲式耳 CBOT
　　豆油 35.36 35.42 0.17 美分/磅 CBOT
　　棉花 47.40 48.41 2.13 美分/磅 ICE
　　原糖 12.70 12.74 0.31 美分/磅 ICE
　　原油 52.40 52.24 -0.31 美元/桶 NYMEX
　　橡胶* 167.30 174.30 4.18 日元/公斤 TOCOM
　　铜 4317.50 4570.00 5.85 美元/吨 LME
　　铝 1480.00 1540.00 4.05 美元/吨 LME
　　锌 1380.00 1390.00 0.72 美元/吨 LME
　　镍 10850.00 10950.00 0.92 美元/吨 LME
　　锡 11050.00 10855.00 -1.76 美元/吨 LME
　　铅 1325.00 1410.00 6.42 美元/吨 LME
　　黄金 898.00 883.30 -1.64 美元/盎司 COMEX
　　白银 1280.00 1233.00 -3.67 美分/盎司 COMEX
　　铂金 1256.10 1195.30 3.39 美元/盎司 NYMEX
　　美元指数* 83.91 85.54 1.94 ?? ??
　　CRB 378.52 376.44 -0.55 ?? ??
　　注：以上均为连续合约；数据来源：世华财讯；橡胶、美元指数*：收盘数据截至4月10日；其他取值截至北京时间4月11日22：30。

