提前减仓中小盘股 22只偏股基金成功逃顶
　　据《证券日报》基金周刊记者观察，6月11日至18日，基金重仓的中小盘股急跌，而部分持股基金同期表现尤为抗跌，且在6月份领先同行提前减仓中小盘股 22只偏股基金成功“逃顶”
　　□ 本报记者 赵学毅
　　基金净值下跌与其重仓股的表现息息相关。6月11日至6月18日，这是自5月中旬以来中小盘股跌幅最深最急的三个交易日，期间中小板指数累计下跌6.61%，创业板指数累计下跌 10.49%，不少基金重仓的中小板股票或创业板股票累计跌幅远远超过10%。对于重仓中小盘股的185只基金来说这无疑是场煎熬，其平均回报率跑输同期同业水平。值得欣慰的是，仍有22只重仓中小盘股的基金净值明显抗跌，且在6月份均跑赢偏股基金平均业绩水准。可以推断，这22只基金在中小盘股下跌之前已经减仓，做到了成功“逃顶”，显示出较强的投资管理能力。
　　中小盘股急跌
　　185只基金整体受伤
　　据《证券日报》基金周刊及WIND资讯最新统计，在325只偏股基金中，一季度前10大重仓股出现中小板或创业板股票的基金有185只，即有56.92%的偏股基金在一季度重仓持有中小盘股。
　　统计数据显示，6月11日至18日，上证指数累计下跌1.93%，而同期中小板指数和创业板指数分别累计下跌6.61%、10.49%。中小盘股的急跌，令持股基金措手不及，基金净值顺势下跌。在这三个交易日里，185只重仓中小盘股票的基金净值平均回报率为-4.52%，与同期325只偏股基金-4.03%的净值平均业绩相比有一定差距。其中，有184只重仓中小盘股的基金跑输上证指数，几乎是全军覆没。显然，重仓急跌的中小盘股，令这些基金整体黯然神伤。
　　泰达宏利成长最看重中小盘股，一季度前十大重仓股中有六席被中小板股占据，且前三大重仓股均为清一色的中小板股。交易数据显示，该基金前三大重仓股双鹭药业、鱼跃医疗、北纬通信在6月11日至18日期间分别下跌18.98%、 10.37%、8.58%，基金净值同期下滑6.57%，位居325只偏股基金业绩后20名。天弘永定成长前十大重仓股中有三只是中小板，其中重仓持有的江苏国泰、广州国光三个交易日分别下跌9.73%、6.44%，该基金净值同期下跌7.09%。泰信优质生活前十大重仓股中也有三只是中小板，其中重仓持有的鑫富药业、证通电子三个交易日分别下跌10.38%、10.64%，该基金净值同期下跌8.9%，成为表现最差的重仓中小盘股的基金，也在325只偏股基金中业绩倒数第一。
　　重仓中小盘股且在6月11日至18日受伤较深的基金还有华富成长趋势、上投摩根内需动力、东吴行业轮动、广发聚瑞、信诚盛世蓝筹等8只，这些基金三个交易日净值回报均低于-7%。
　　疑似减仓
　　22只偏股基金6月抗跌
　　统计数据显示，在185只重仓中小盘股的偏股基金中，前五大重仓股中出现中小盘股的偏股基金共有112只，其中第一大重仓股便是中小板的基金有30只。通过对前五大重仓股的交易观察发现，有57只基金持有的中小盘股在6月11日至18日期间下跌超过9%。对比这些基金的净值表现，便可以发现基金是否对中小盘股做了减仓。
　　据《证券日报》基金周刊记者观察，57只重仓中小盘股的基金中，有30只基金在6月11日至18日期间净值回报率超过同期57只基金的平均业绩-2.17%，而这30只基金中又有22只在6月份保持了领先同类基金的业绩水平。可以推断，这22只基金在中小盘股下跌之前已经减仓，做到了成功“逃顶”。
　　具体来看，重仓科华生物的国投瑞银景气行业(一季度该基金第三大重仓股，6月11日至18日期间该股大跌 10.35%)，在中小盘股急跌的三个交易日里净值回报率-1.59%，是185只重仓中小盘股票的基金中唯一能跑赢上证指数的基金。6月份，国投瑞银景气行业净值回报率为0.61%，在一片惨淡的行情中显得弥足珍贵。其实，国投瑞银景气行业基金在资产配置上一贯执行果断的调仓风格，以2008年二季度以来8个季度国投瑞银景气的增减仓与同期大盘表现对比，发现大多数的增减仓与股市的季度涨跌相一致，表明基金经理袁野对股票市场的风险收益变化反应敏感。
　　重仓科陆电子的鹏华行业成长(一季度该基金第四大重仓股，6月11日至18日期间该股大跌12.9%)，在中小盘股急跌的三个交易日里净值回报率 -2.75%，6月份净值回报率为0.27%，是为数不多取得正收益基金的一员。
　　此外，新华优选分红、长信银利精选、博时特许价值、汇添富优势精选、富国天源平衡等9只基金，也未因重仓中小盘股股价大跌而遭受业绩的大幅下滑，不但顺利逃脱6月中旬的急跌困境，也在6月份取得不低于-1% 的净值回报率。
　　激辩高估值
　　有业绩支撑就可配置
　　时至大盘2500点盘整，价格处于高位的中小盘股纷纷进入补跌阵营，“宝地”还是“雷区”，基金对中小盘股的分歧前所未有地弥漫开来。众多基金仍表示，在经济结构转型和宏观政策有压有托的大背景下，只要有业绩支撑，中小盘股的高估值也算不了什么。
　　平安证券一分析师对《证券日报》基金周刊记者表示：“中小市值股票的高估值源于市场对其高成长性的预期，经济刺激政策退出的预期使中小企业高成长的持续性面临下调风险，加上价格上涨因素，中小企业在估值与盈利两方面双双承压。就此判断，中小市值股票行进的路径仍然向下。”一位偏好中小盘股投资的基金经理认为，虽然部分中小盘股估值较高，但如果从中国经济增长模式转型的趋势来看，新兴行业的增长空间会超出人们的预期，这使得高估值可以被接受。在新兴行业发展过程中，中小盘股投资会给基金带来更多的收益空间。
　　诺德基金投资总监、诺德中小盘基金经理向朝勇认为，中小盘的阶段性调整是暂时的，关注中小盘股的投资价值要以“不畏浮云遮望眼”的心态来看。“在中小盘股经历前期大幅上涨后，技术上有调整或补跌的要求。此轮调整使中小盘股估值回归理性，为新基金提供了一个难得的建仓良机。从长期看，在经济结构转型和宏观政策有压有托的大背景下，市场仍将看好部分中小盘中有实际业绩支撑并具有较高成长性的公司。未来可重点关注医药、煤炭、农业、白电、节能减排等新兴产业等有业绩支撑且成长性良好的中小盘股。”他如是表示。
　　22只疑似减仓中小盘股的基金
　　证券代码 证券简称 6月11日至18日净值回报(%) 6月份净值回报(%) 二季度净值回报(%) 上半年净值回报(%) 单位净值(元)
　　121002 国投瑞银景气行业混合 -1.59 0.61 -6.89 -9.09 0.8725
　　206001 鹏华行业成长混合 -2.75 0.27 -8.12 -10.76 0.9231
　　519087 新华优选分红混合 -2.14 -0.11 -14.45 -17.41 0.723
　　519996 长信银利精选股票 -2.51 -0.60 -13.13 -16.67 0.6927
　　050010 博时特许价值股票 -2.50 -0.60 -12.32 -15.34 1.153
　　519008 汇添富优势精选混合 -4.27 -0.80 -6.96 -9.15 2.2898
　　100016 富国天源平衡混合 -4.47 -0.82 -6.24 -5.85 0.9411
　　450007 国富成长动力股票 -3.31 -0.86 -9.09 -12.51 1.0768
　　240011 华宝兴业大盘精选股票 -2.42 -0.87 -14.02 -18.27 1.5116
　　166002 中欧新蓝筹混合 -3.74 -0.90 -10.47 -11.52 1.0933
　　160603 鹏华普天收益混合 -3.59 -0.92 -8.91 -12.18 0.757
　　240005 华宝兴业多策略股票 -3.09 -1.14 -15.15 -18.00 0.5824
　　070018 嘉实回报混合 -3.96 -1.14 -7.11 -8.80 0.953
　　180018 银华和谐主题混合 -3.61 -1.19 -8.16 -6.33 1.081
　　240008 华宝兴业收益增长混合 -2.15 -1.20 -14.25 -18.88 2.8129
　　519991 长信双利优选混合 -2.08 -1.22 -13.41 -16.20 0.807
　　519183 万家双引擎灵活配置混合 -4.06 -1.29 -8.64 -10.58 0.9384
　　260112 景顺长城能源基建股票 -3.94 -1.60 -10.72 -10.29 0.924
　　519069 汇添富价值精选股票 -3.91 -1.64 -6.74 -7.34 1.439
　　162102 金鹰中小盘精选混合 -4.07 -1.79 -9.02 -5.42 1.0124
　　163503 天治核心成长股票(LOF) -4.24 -1.84 -13.04 -15.67 0.501
　　110012 易方达科汇灵活配置混合 -4.02 -1.90 -7.50 -5.87 1.443

