关联方间接热捧撑大基金规模
　　王艳伟
　　基金公司关联方正在以更间接的方式参与对基金的投资。近期公布的基金2008年年报显示，在多只基金的关联方持有人中，由基金公司股东管理的券商集合理财、保险资金投资账户和信托计划的名字赫然其中。
　　最引人关注的是于去年9月成立的信诚三得益债券。其年报披露，公司股东中信信托和信诚人寿保险下面的理财账户为其首募贡献了近4亿份。这些账户包括：由信诚人寿保险管理的平衡增长账户、策略成长账户和分红账户等，以及由中信信托管理的基金2号01、基金4号、基金5号、基金7号、基金8号、双盈4号、双盈8号和双盈9号等。这些账户持有的信诚三得益债券份额共计3.46亿份，占该基金2008年底总份额的比例达到16.60%。
　　此外，信诚四季红、信诚精萃成长和信诚盛世蓝筹等3只基金也分别被信诚人寿保险管理的不同账户持有，这些账户还包括稳健配置账户、成长先锋账户、积极成长账户等。而这些账户都是在2008年年报中首次集体现身在基金持有人名单中的。
　　除信诚基金外，光大保德信旗下基金也获得股东光大证券的集合理财计划的投资。如，光大保德信量化核心被光大阳光2号持有1693万份，这一数字较2007年底时有所减少；光大保德信货币被光大阳光3号持有3000万份，光大保德信增利收益被光大阳光2号持有999.9万份，二者均是首次出现在相关基金年报中。
　　基金公司关联方间接持基一览
　　资料来源：本报整理
　　基金名称 持有人 持有份额(万份) 持有比例(%)
　　光大保德信量化核心 光大阳光2号 1693.3108 0.11
　　光大保德信货币 光大阳光3号 3000 3.69
　　光大保德信增利收益A 光大阳光2号 999.9 2.3
　　汇丰晋信动态策略 山西信托—山西信托康保 201.3407 0.073
　　信诚四季红 信诚人寿保险有限公司-稳健配置账户 1039.952 0.16
　　信诚四季红 信诚人寿保险有限公司-成长先锋账户 5207.903 0.82
　　信诚精萃成长 信诚人寿保险有限公司-稳健配置账户 2416.4156 0.69
　　信诚精萃成长 信诚人寿保险有限公司-积极成长账户 625.2204 0.18
　　信诚精萃成长 信诚人寿保险有限公司-成长先锋账户 5458.2932 1.57
　　信诚盛世蓝筹 信诚人寿保险有限公司-成长先锋账户 3499.9963 6.59
　　信诚盛世蓝筹 信诚人寿保险有限公司-积极成长账户 499.9138 0.94
　　信诚盛世蓝筹 信诚人寿保险有限公司-分红账户 999.9275 1.88
　　信诚三得益债券A 中信信托有限责任公司-双盈8号 5000.0375 6.42
　　信诚三得益债券A 信诚人寿保险有限公司-分红账户 2506.7223 3.22
　　信诚三得益债券A 中信信托有限责任公司-基金4号 9000.1475 11.56
　　信诚三得益债券B 信诚人寿保险有限公司-平衡增长账户 120.3278 0.06
　　信诚三得益债券B 中信信托有限责任公司-基金2号01 4757.3739 2.28
　　信诚三得益债券B 中信信托有限责任公司-双盈4号 1951.5023 0.94
　　信诚三得益债券B 中信信托有限责任公司-基金7号 2854.4244 1.37
　　信诚三得益债券B 中信信托有限责任公司-双盈9号 1428.5714 0.69
　　信诚三得益债券B 中信信托有限责任公司-基金5号 1906.5777 0.92
　　信诚三得益债券B 信诚人寿保险有限公司-策略成长账户 300.8195 0.14
　　信诚三得益债券B 中信信托有限责任公司-基金8号 4757.3739 2.28

