次新基金资金流入明显
　　随着市场的持续回暖，去年抄底成功的次新基金优良的赚钱效应再次显现，表现最佳的次新主动型股票基金成立至今收益已超30%，成为投资者近期关注的重点。而全景网最新一项调查显示，参与调查的基民中，有34.55%的人表示将首选次新基金投资。　　
　　操作 成功抄底
　　根据Wind统计，自去年四季度市场暖至今年4月13日，去年10月份后成立的18只次新主动型股票基金全部实现盈利。其中，收益率超过20%的基金有9只，收益率超过30%的基金有4只。去年10月7日成立的华宝兴业大盘精选基金截至4月13日收益率已高达35.14%，在去年10月份后成立的18只次新主动型股票基金中高居第一。据悉，在去年股市的下跌过程中，次新基金多数采取了非常谨慎的建仓策略，去年10月市场从2300点急速下跌至1600点左右时，次新基金净值下跌不是很多，而在今年市场上涨的阶段，一些次新基金小规模的优势却得以发挥，操作比较灵活，业绩表现即使和最优秀的老基金相比也并不逊色。
　　领跑 股票型基金
　　而在次新基金收益节节攀升之时，最突出的领跑者当属股票型基金。据银河证券统计，截至4月16日，在135只可比的股基中，兴业社会责任基金、新世纪成长基金和华商盛世成长基金等三只成立不满一年的次新股基跻身前五。其中，于2008年4月30日成立的兴业社会责任基金表现最为突出，以48.71%的净值增长率位列第2，并有望成为下一只今年以来涨幅超过五成的基金。对此，兴业全球基金投资总监王晓明昨日向记者透露，兴业社会责任基金取得不俗的业绩，并不是依靠高仓位，而是该基金结构上强调均衡、风格较为灵活，其重仓股选择的也是那些风险较小、较稳定的品种。
　　策略 大举分红
　　除了业绩表现优异以外，次新基金今年来大都采取了密集分红的策略吸引投资者。其中，中海基金近日就发布公告称，旗下中海稳健收益债券基金实施分红，每10份基金份额派发红利0.3元。此次分红是该基金自2008年4月10日正式成立至今近一年来的第二次分红，距2008年11月8日首次分红时隔仅5个月。中海基金相关人士表示，由于债券类资产具有相对稳定的收益，以及与股票类资产存在跷跷板关系，因此，债券基金对于投资者资产组合的总体风险程度可起到显著的调节作用，尽管随着本轮降息周期接近尾声，以及A股市场转暖，资金向股市倾斜，债券市场将难以延续2008年的优异表现，但债券基金仍需要成为投资者投资组合中的重要配置。(记者 丁?)
　　去年10月来成立主动型股票基金业绩前十名列表
　　基金名称 净值增长率(%) 基金成立日
　　华宝兴业大盘精选 35.14 2008-10-7
　　大成策略回报 32.5667 2008-11-26
　　易方达科翔 32.0233 2008-11-13
　　富国天鼎中证红利 30.1938 2008-11-20
　　华安核心优选 26.54 2008-10-22
　　建信核心精选 23.9 2008-11-25
　　国联安德盛红利 23.9 2008-10-22
　　鹏华盛世创新 22.156 2008-10-10
　　上投摩根中小盘 21.1 2009-1-21
　　景顺长城公司治理 16.5 2008-10-22
　　(截止2009年4月13日)

