三季报基金新进持股 10月以来八成跑赢大盘
　　在选股同质化的情形下，基金要想“卓尔不群”，只能“剑走偏锋”，此时，对“冷门股”的选择就显得异常重要。有意思的是，基金三季末首次现身的股票中，已有八成在十月以来跑赢大盘。
　　上市公司三季报股东变化数据显示，沪深两市共有71只股票前十大流通股东中首次出现了基金的身影。具体来看，共有37只股票仅1只基金首次入住，包括哈投股份、罗牛山、南宁百货、荣华实业、爱使股份等；另有34只股票有多家基金或同系基金扎堆进入，比如星湖科技、中国中冶、福建南纸、昆明制药、神马实业等。其中神马实业由华夏系的华夏红利基金、华夏蓝筹基金、华夏回报基金结伴进入。
　　今年以来，一向被批评选股“同质化”的基金公司开始逐渐试图“不走寻常路”，更多的对“冷门股”进行了实地调研。比如数源科技，三季度有华安基金、华夏基金、东吴基金前去调研，随后华夏大盘精选、华夏策略精选两只基金均选择新进该股，并分别坐上该股第三大和第八大流通股东的宝座。
　　四季度以来，大盘呈现震荡上行的走势，期间这些冷门股的表现可圈可点，为相关基金带来丰厚的投资回报。
　　数据显示，10月以来上证指数累计上涨12.56%，而71只基金冷门股同期平均上涨19.55%，且有57只股票跑赢大盘，占比80.28%。银河银泰理财基金及银河稳健基金首次进驻金种子酒，该股10月以来累计上涨43.36%，11月3日更是创出12.1元的阶段性股价新高，成为表现最突出的基金“冷门股”。星湖科技、普洛股份、武汉塑料三只股票表现紧随其后，期间股价涨幅均已经超过40%；另有神马实业、顺络电子、昆明制药等6只股票期间涨幅均已经超过30%。
　　这样算来，基金如果近期没有抛售上述冷门股，账面浮盈十分可观。比如金种子酒，银河银泰理财基金及银河稳健基金分别新进600万股和155.2万股，金种子酒股价上涨令两只基金持股市值分别增加了2136万元和552.51万元。再如股价创出新高的星湖科技，三季度末前十大股东均为新进机构，其中有8家股东属于基金，既有华夏系的华夏大盘精选、华夏行业精选、华夏策略精选，也有招商优质成长、招商行业领先、招商大盘蓝筹。10月份以来，星湖科技股价累计上涨42.75%，分别为华夏基金公司、招商基金公司带来1.04亿元、29.28亿元的账面浮盈。
　　“冷门股”在进入基金视野之前一般很少有人问津。但是基金公司通过实地调研，选择成长性好、基本面好、有成长性的股票，之后同样会吸引其他基金或者机构投资者的“入驻”，投资者可以跟踪关注这些“冷门股”在二级市场的表现。(王倩)
　　部分十月以来表现较好的基金新进持股
　　证券代码 证券简称 10月以来 累计换手率(%) 最新收盘价(元) 三季度
　　涨跌幅 每股收益(元)
　　(%)
　　600199 金种子酒 43.36 89.76 11.77 0.1700
　　600866 星湖科技 42.75 149.00 11.92 0.1706
　　000739 普洛股份 42.19 206.33 11.19 0.1000
　　000665 武汉塑料 41.56 182.65 10.32 0.0391
　　600810 神马实业 38.30 97.23 10.76 －0.0970
　　002138 顺络电子 36.04 103.39 17.25 0.3700
　　600422 昆明制药 33.69 108.59 11.15 0.1300
　　002042 华孚色纺 32.52 35.03 16.79 0.6800
　　002108 沧州明珠 31.75 137.92 27.51 0.7400
　　600193 创兴置业 31.21 86.69 11.94 －0.0068
　　002281 光迅科技 29.04 252.19 33.95 0.6600
　　600889 南京化纤 26.34 146.52 10.17 0.3510
　　000909 数源科技 26.03 50.79 9.78 0.0600
　　000797 中国武夷 25.69 54.33 7.73 0.0900
　　002126 银轮股份 25.10 82.20 15.20 0.2600
　　002059 世博股份 25.00 101.54 10.00 －0.0261
　　000637 茂化实华 24.18 41.27 9.09 0.2400
　　002294 信立泰 24.15 194.17 91.00 1.2100
　　000506 ST中润 23.94 64.04 8.80 0.2365
　　600228 昌九生化 23.28 65.19 8.79 －0.2050

