QDII基金业绩分化明显 收益首尾相差逾10%
　　资金从新兴市场回流至成熟市场
　　新快报记者 强燕
　　随着新兴市场迎来“流金”岁月，美股等主要成熟市场明显活跃，投资于美股的国泰纳斯达克100指数基金(下称国泰100基金)也称为年初以来表现最抢眼的QDII基金。而主要投资于香港、亚太等新兴市场的QDII基金则出现不同程度的亏损。那么，投资QDII基金该如何选择呢？业内人士认为，整体来看，今年QDII基金仍机会较多，除了关注成熟市场外，其他市场的机会也可择机把握。
　　收益首尾相差逾10%
　　来自巨灵金融服务平台的最新数据显示，截至上周五，国泰100基金年初以来的收益率为6.15%，为QDII基金回报第一名，也在同期所有偏股型基金中位列前茅。不过，在成立运作满六个月的QDII基金中回报为正的比较少，除了国泰100基金外，招商全球资源的回报是相对较高的了，为2.54%。而嘉实H股指数基金跌幅则超过5%，此外，上投亚太优势、易方达亚洲精选、香港华安精选、汇添富亚洲澳洲优势等均出现超过3%的跌幅。一些全球基金的跌幅也超过2%。
　　QDII基金业绩分化明显的原因与近期资金流向变化有一定关系。有报道指出，在截至2月9日的当周，从新兴市场股票型基金净流出的资金就达到30亿美元，由于美企业绩增长强劲和美国经济好转，吸引了大量资金流入。而道琼斯30指数、纳斯达克指数2月以来都连续上扬。而国泰100基金是目前为止国内唯一一只专注于美国股市投资的QDII基金，因此，该基金受益良多，而专注于亚太市场或其他新兴市场的基金则无缘分享。而那些投资全球股市的QDII将投资额分配到美国市场的也往往不足其投资总额的两成，所以美国股市的连创新高并没有受益所有QDII。
　　QDII兔年强于A股基金
　　尽管QDII基金的业绩略有分化，但从整体业绩情况看，QDII基金今年以来表现仍明显强于A股市场中的偏股类基金。据银河证券数据统计，截至2月11日，238只标准股票型基金今年以来净值增长率为-3.45%，165只混合型基金净值增长率为-2.66%。
　　有理财专家表示，在今年A股市场可能难有上佳表现的背景下，投资者在资产配置上，不妨增加QDII基金。具体到QDII基金选择上，可选择一些投资于成熟市场且业绩较好的QDII来对冲A股的投资风险，并把握其他市场可能出现的投资机会。
　　就新兴市场而言，虽然短期资金撤出明显，但新兴市场中仍值得关注，国际投行瑞士信贷就认为韩国、俄国和中国是新兴市场的投资首选。上投摩根基金也认为，全年看新兴市场还是会有较出色的表现。上投摩根认为，整个全球经济还在持续增长，其中每个重要市场的PMI数字都不会太差，流动性方面2011年问题也不那么大。就新兴市场角度来看，虽然长期而言有很多资金流入新兴市场，但是整个新兴市场占全球利润的份额14.5%，但市值大概是13%，全球新兴市场其实被大部分的全球投资人低配。从这个角度来看对新兴市场乐观程度可以再增加一点。
　　部分QDII 基金今年以来的收益率表现
　　基金名称                 收益率(%)
　　嘉实 H 股指数基金          -5.11
　　上投亚太优势               -4.91
　　易方达亚洲精选             -4.82
　　华安香港精选               -4.78
　　嘉实海外                   -3.84
　　汇添富亚洲澳洲优势         -3.84
　　华宝海外中国               -2.91
　　南方全球资源               -2.64
　　工银瑞信全球配置           -2.19
　　华泰亚洲领导企业           -2.18
　　南方金砖                   -0.79
　　交银环球                   -0.28
　　华夏全球                   -0.11
　　海富通大中华                0.10
　　银华全球                    0.20
　　建信全球机遇                0.60
　　长盛环球景气                0.67
　　招商全球资源                2.54
　　国泰纳斯达克 100 指数基金   6.15
　　(截至 2 月 11 日)

