海南旅游岛规划将获批 王亚伟率基金围猎概念股
　　新快报讯 昨日，海南板块异军突起，板块平均涨幅达3.14%，居所有板块之首，逾八成个股收涨。其中海南航空盘中一度触及涨停位置，海南椰岛、罗牛山及海南高速等个股涨幅居前。分析人士认为，进入11月份，国家推出利好政策的预期越发强烈，三季度被基金大举建仓的海南本地股将有望成为市场中的新热点。
　　旅游岛规划获批时间将近
　　日前，海南省政府秘书长徐庄透露，国家联合调研组正在组织起草有关支持海南旅游产业发展的政策措施，并将海南旅游业的发展纳入国家发展战略。有消息称，这意味着《海南国际旅游岛规划纲要》有望在近期获得国务院的批复。未来国家将在海南相关的投资项目、财政等政策予支持。在舆论氛围的影响下，长期表现平淡的海南本地股近日攀升，其中龙头品种海南航空10月份以来的涨幅高达40.41%，海南高速更连日强势，收出7连阳。
　　国泰君安认为，近期中央政府将出台支持海南建设国际旅游岛的优惠政策，主要集中在出入境签证、旅游购物、融资、旅游相关产业发展等方面。这将为海南本地股带来交易性投资机会，后市可关注海南航空市场最大的承运人海南航空等。
　　“海南省还将于近日出台税收方面的优惠政策，整个海南板块都会继续受到提振，后市仍可逢低吸纳。”本报实盘赛冠军得主江湾小陈同时提醒说，如果管理层近日果然推出海南旅游岛的政策，投资者应顺势出局，以防该概念见光死。
　　王亚伟率基金扎堆潜伏
　　据悉，早在去年4月，国务院便批准了海南省建设“国际旅游岛”，计划在海南岛内，以旅游业开放为重点，对外实行以“免签证、零关税、放航权”等开放政策。此消息虽未直接推动二级市场价格上的相关个股股价，但却吸引了以华夏系基金为首的基金集体围猎。
　　据三季报披露信息显示，截至9月30日，华夏系的4只基金分别杀入了海南航空、海南海药及海南高速。金证顾问分析师林艳云认为，王亚伟等基金扎堆国际旅游岛相关概念股，值得市场予以重点关注。而海南高速作为正宗“海南国际旅游岛”概念股，后市仍具备较大的上涨空间。(陈永洲)
　　昨日海南板块十大强势股
　　代码   名称     涨幅(%)  现价(元)
　　600221  海南航空  8.55    6.22
　　600238  海南椰岛  7.29    15.89
　　000735  罗 牛 山  7.03    5.48
　　000886  海南高速  6.87    4.98
　　600209  罗顿发展  5.60    6.03
　　000613  ST东海A  4.95    4.88
　　000567  海德股份  3.64    8.55
　　000571  新大洲A  2.66    6.56
　　000505  *ST珠江  2.50    6.55
　　600515  ST筑 信  2.50    7.39

