2010广州秋季家具展参展企业名录(2)
　　紫明星家具有限公司 10.2C08
　　广州市睿创家具有限公司 10.2C10
　　东莞自由空间沙发厂 10.2C12
　　东莞自由空间沙发厂 10.2C12
　　浙江利豪家具有限公司 10.2D01
　　佛山市兰马克家具有限公司 10.2D06
　　佛山市顺德区富怡美家具有限公司 10.2D08
　　佛山市宜奥科技实业有限公司 10.2D12
　　广东佛山顺德区龙江金莱宝家具厂 10.2D16
　　金百利软体家具 10.3A01
　　上海勤拙家具有限公司 10.3A03
　　上海酬勤家具有限公司 10.3A06
　　浙江豪中豪健康产品有限公司 10.3A08
　　广州市番禺区南村尚品家具厂 10.3A10
　　佛山市安曼家具有限公司 10.3A12
　　深圳市爱的家具有限公司 10.3B01
　　上海卡兰家具有限公司 10.3B06
　　佛山市南海华琦家具实业有限公司 10.3B08
　　北京依丽兰家具有限公司 10.3B10
　　格林皮斯家具(深圳)有限公司 10.3B12
　　成都市锦田家具有限公司 10.3B16
　　深圳市新富都家私有限公司 10.3B18
　　佛山宝加迪布艺沙发 10.3B20
　　深圳市圆方园实业发展有限公司 10.3C01
　　佛山市嘉洋实业有限公司 10.3C06
　　珠海市意多?私有限公司 10.3C08
　　Oriental Chic Furniture Company Limited 10.3C10
　　佛山市法达尼家具有限公司 10.3C12
　　安吉百驷图家具有限公司 10.3C16
　　顺德乐从沙边家具厂 10.3C18
　　北京依诺维绅家具有限公司 10.3D01
　　佛山市顺德区龙江镇美未央家具厂 10.3D03
　　德斯特五金制造厂 10.3D06
　　佛山市顺德区皖宝家具有限公司 10.3D08
　　佛山市顺德区龙江镇美馨家具制造厂 10.3D10
　　广州华弘进出口贸易有限公司 10.3D12
　　北京风采之都家具有限公司 11.2A01
　　深圳市红点家具有限公司 11.2A06
　　北京强威家具有限公司 11.2A08
　　连年好家具厂 11.2A10
　　佛山市顺德区龙江镇美品家具厂 11.2A12
　　佛山市顺德区乐从镇罗沙华峰家具厂 11.2A16
　　深圳市富丽法雷尔家私制造有限公司 11.2B01
　　鹤山市鹰星家具实业有限公司 11.2B06
　　丽星实业有限公司 11.2B08
　　广东左梵仕家具 11.2B12
　　深圳市星星梦家具有限公司 11.2C01
　　东莞欧达家具有限公司 11.2C06
　　台湾点石 11.2C08
　　台湾点石 11.2C08
　　深圳市格调家私有限公司 11.2C10
　　宁波市鄞州区贝斯达家具有限公司 11.2C12
　　北京维力家具有限公司 11.2D01
　　佛山市顺德区斯高家具有限公司 11.2D03
　　北京先迪伟业家具有限公司 11.2D05
　　CENTURY MARKETING GROUP(H.K) LTD. 11.2D06
　　上海圣家府家具有限公司 11.2D08
　　佛山市顺德区龙江镇优点家具厂 11.2D10
　　德宝家具制造有限公司 11.2D12
　　深圳市自然界家私制造厂 11.2D16
　　深圳市强力海棉制造有限公司 11.3A01
　　佛山市南海区海斯贝尔五金皮革制品厂 11.3A02
　　佛山市海马家具有限公司 11.3A03
　　荣华家具有限公司 11.3A06
　　廊坊八达家具有限公司 11.3A08
　　佛山市莎轩娜家具制造有限公司 11.3A10
　　美国凯仕乐科技发展有限公司 11.3A12
　　山东潍坊欧联家俱有限公司 11.3A16
　　佛山市顺德区奥帝家具制造有限公司 11.3B01
　　佛山市顺德区龙江镇大鹏家具厂 11.3B03
　　佛山中至信家具公司 11.3B06
　　佛山市天使梦五金精品有限公司 11.3B08
　　佛山市顺德区龙江镇卡特家具厂 11.3B10
　　雄博(香港)家具有限公司 11.3B12
　　合肥元丰家居用品有限公司 11.3B16
　　东莞市盛信装饰材料有限公司 11.3B18
　　佛山市龙邦家具有限公司 11.3B20
　　深圳市德胜家具有限公司 11.3C01
　　深圳市美邦创艺家私有限公司 11.3C03
　　恒鼎家具有限公司 11.3C06
　　佛山市顺德区龙江镇泳科家具厂 11.3C08
　　佛山市菲立高家具有限公司 11.3C10
　　深圳天央家具有限公司 11.3C12
　　北京米兰记忆家具有限公司 11.3C16
　　U2 Living Corporation Limited 11.3D01
　　佛山市顺德区龙江镇伊莱斯家具厂 11.3D03
　　佛山市顺德区振翔源家具厂 11.3D06
　　东莞市奥派家具有限公司 11.3D08
　　通用家健有限公司 11.3D10
　　中国广东省佛山市南海雅兰皇庭家具有限公司 11.3D12
　　心缘实业有限公司 11.3D16
　　鹤山市冠亚海棉工艺制品有限公司 11.3D20
　　906工艺家具制造厂 11.3D22

