2010广州秋季家具展参展企业名录(3)
　　佛山市南海区丰辉云石家具厂 2.2A01
　　佛山市顺德区龙江镇邦域五金家具厂 2.2A02
　　东莞市富艺美集家具有限公司 2.2A03
　　佛山市顺德区旭成家具有限公司 2.2A06
　　广州市拓曼司家具有限公司 2.2A08
　　中山满分家居用品有限公司 2.2A10
　　Cilek Mobilya A.S. 2.2A12
　　广州市珍意宝家具有限公司 2.2A16
　　佛山市名耀家具有限公司 2.2A18
　　焯麟家具厂 2.2A20
　　东莞市爱家木器制造有限公司 2.2B01
　　东莞市鸿翔钢木家具有限公司 2.2B02
　　东莞市显赫家具有限公司 2.2B03
　　佛山市南海喜莱佳家具有限公司 2.2B06
　　佛山市宝艺龙家具有限公司 2.2B08
　　佛山欧泊尔家具 2.2B10
　　佛山市顺德区龙江镇东头豪爵家具厂 2.2B12
　　浙江如意实业有限公司 2.2B16
　　东莞市厚街盛基家具厂 2.2B18
　　广州市丽登家具有限公司 2.2B20
　　广东省佛山市顺德区宝卓家具厂 2.2B22
　　广东联邦家私集团有限公司 2.2C01
　　臻美家具 2.2C06
　　深圳市美合源实业有限公司 2.2C08
　　广州市柏盈家具制造有限公司 2.2C10
　　广州市爱彼高家具有限公司 2.2C12
　　顺天家具厂 2.2C16
　　艺能佳有限公司 2.2C18
　　佛山市禅城区名亮家具 2.2C20
　　金穗星家具厂 2.2C22
　　深圳市生活印相家具有限公司 2.2D01
　　深圳欧迈家具有限公司 2.2D03
　　雅日有限公司 2.2D06
　　福建省安溪恒星家俱有限公司 2.2D08
　　优榜家具有限公司 2.2D10
　　佛山市顺德区乐从镇罗沙健朗家具厂 2.2D12
　　佛山市顺德区卓致家具实业有限公司 2.2D16
　　东莞市高点家具制造有限公司 3.2A01
　　东莞市高点家具制造有限公司 3.2A01
　　浙江丰贸群家具有限公司 3.2A03
　　浙江丰贸群家具有限公司 3.2A03
　　广州市汇雅家具有限公司 3.2A06
　　永铿石材?俱实业有限公司 3.2A08
　　中山兆盈家具实业有限公司 3.2A10
　　顺德区龙江镇枫盈家具制造厂 3.2A12
　　佛山市南海区广安新家具有限公司 3.2A16
　　香港康升集团有限公司 3.2B01
　　实创家具(北京)有限公司 3.2B03
　　佛山市乔逸家具有限公司 3.2B06
　　佛山市尚怡家具有限公司(乐雅轩) 3.2B08
　　霸州市星光家具有限公司 3.2B10
　　佛山市顺德区龙江镇班芙五金厂 3.2B12
　　宁波奥瑞特工艺品有限公司 3.2B16
　　富山家具有限公司 3.2B18
　　广州市卓豪家具有限公司 3.2B20
　　佛山市南海区九江豪畅家具厂 3.2B22
　　健威家具装饰有限公司 3.2C01
　　佛山市顺德区沙富永丰家具有限公司 3.2C06
　　北京恒福利家具制造有限责任公司 3.2C08
　　广州市可伟家具制造有限公司 3.2C10
　　广州雅图士家具有限公司 3.2C12
　　东莞市奥奇五金家具有限公司 3.2C16
　　新思钢木家具制造有限公司 3.2C18
　　佛山市轩斯五金家具有限公司 3.2C20
　　优越家具发展有限公司 3.2C22
　　广州市穗兴家具发展有限公司 3.2D01
　　杭州荣业家具有限公司 3.2D03
　　佛山市高明中礼家具有限公司 3.2D06
　　佛山市永恒家具实业有限公司 3.2D08
　　佛山市金奥宝家具有限公司 3.2D10
　　广东省佛山市龙江镇卡图家具厂 3.2D12
　　东莞市德美家具有限公司 3.2D16
　　佛山市名美轩家具实业有限公司 4.2A01
　　佛山市南海区尚的五金家具厂 4.2A03
　　佛山市南海社群建材实业有限公司 4.2A06
　　福建安溪聚丰工艺品有限公司 4.2A08
　　佛山市顺德永兴实业家具厂 4.2A10
　　东莞市商兴木业有限公司 4.2A12
　　深圳市同兴隆家具有限公司 4.2A16
　　深圳兴利家具有限公司 4.2B01
　　东莞市康惠尔家具实业有限公司 4.2B03
　　佛山市顺德区富其家具有限公司 4.2B05
　　东莞市环球工艺进出口贸易有限公司(东莞恒丰家私厂) 4.2B06
　　东莞长实家具有限公司 4.2B08
　　浙江星威办公家具制造有限公司 4.2B10
　　佛山国度家具有限公司 4.2B12
　　广州市圆方计算机软件工程有限公司 4.2B16
　　佛山市高明区欧镓家具有限公司 4.2B18
　　广州雅时家具有限公司 4.2B20
　　佛山市顺德区豪胜家具制造有限公司 4.2B22
　　香港皇朝家私集团有限公司 4.2C01
　　佛山市天蔚家具有限公司 4.2C03
　　澳达路家具有限公司 4.2C06

