2010广州秋季家具展参展企业名录(6)
　　佛山市尊隆家具厂 5.1B11
　　玉环第一家具厂(国森家具有限公司) 5.1C01
　　东莞市艺高家具实业有限公司 5.1C02
　　浙江好人家家具有限公司 5.1C03
　　潮州市泽洲陶瓷有限公司 5.1C05
　　东莞厚街日升家具厂 5.1C06
　　潮州锦安城陶瓷有限公司 5.1D02
　　玉环威林家具有限公司 5.1D03
　　衢州美洲星家具有限公司 5.1D05
　　浙江潘氏家具有限公司 5.1D06
　　尊福(佛冈)竹木有限公司 5.1D09
　　饰品、家纺展
　　公司名称 展位号
　　珠海 大千家居饰品有限公司 1.1A01
　　潮州市达玺泰陶瓷有限公司 1.1A02
　　广州腾亚进出口贸易有限公司 1.1A03
　　广州市马尊视觉艺术有限公司 1.1A04
　　潮安县凤塘杰泰工艺饰品厂 1.1A05
　　雅趣家饰 1.1A06
　　潮州市凤新中盛陶瓷厂 1.1A07
　　潮州市枫溪池湖瓷艺厂 1.1A08
　　香港艺思饰品有限公司 1.1A09
　　潮州市枫溪茂发艺术瓷厂 1.1A10
　　潮州市开发区艺杰陶瓷制作厂 1.1A11
　　潮州博扬陶瓷贸易有限公司 1.1A12
　　青岛市卡斯特兰家居产品设计有限公司 1.1A13
　　深圳市泰域万象东南亚生活馆 1.1B009A
　　广州市越秀区亚艳工艺品商行 1.1B01
　　东莞市高点家具制造有限公司 1.1B02A
　　广州饰庭 1.1B02B
　　深圳市德昌陶瓷工艺品有限公司 1.1B03
　　深圳市煜日实业有限公司 1.1B04
　　深圳市大唐亿居饰品有限公司 1.1B05
　　泉州莳茂艺品有限公司 1.1B06
　　盛世实业有限公司 1.1B07
　　广州红配绿艺术品有限公司 1.1B08A
　　深圳市欣意美饰品有限公司 1.1B08B
　　丽天家居饰品 1.1B09B
　　中国对外贸易广州展览公司 1.1B10
　　广州 美饰美居家居用品有限公司 1.1B11A
　　深圳市欧米亚家居用品有限公司 1.1B12
　　深圳市古来今实业发展有限公司 1.1C01
　　悦泰有限公司 1.1C02
　　北京北雄科技实业有限公司 1.1C03
　　潮州市捷美工艺品有限公司 1.1C04
　　佛山市顺德区乐从镇利来行家居配套商行 1.1C05
　　佛山市顺德区格比家居用品有限公司 1.1C06
　　广州市大丰工艺 1.1C07
　　广州市万力工艺制品有限公司 1.1C08
　　广州市艺萃商业有限公司 1.1C09
　　大连尚艺玻璃集团有限公司 1.1C10
　　广东四通集团有限公司 1.1D01
　　深圳市朴皓实业有限公司 1.1D02
　　广州市代达罗斯居饰有限公司 1.1D03
　　广州生活饰界艺术陶瓷有限公司 1.1D04
　　广州家和家居用品有限公司 1.1D05
　　华丰百花园 1.1D06
　　深圳富丽铭家饰有限公司 1.1D07
　　深圳市法诺家居有限公司 1.1D08
　　广州祥兴工艺品制造有限公司 1.1D09
　　东莞市艺峰饰品有限公司 1.1F01
　　深圳市摩格家居饰品有限公司 1.1F02
　　深圳市春在东方家居有限公司 1.1F03
　　福州星月家居装饰用品有限公司 1.1F04
　　东莞市尔美工艺饰品厂 1.1F05
　　广州市白云区石井玲珑工艺加工厂 1.1F06
　　东莞瑞阁工艺制品有限公司 1.1F07
　　广州赏饰原创美饰配套 1.1F08
　　深圳市卡尼亚家具饰品有限公司 1.1F09A
　　意大利风尚国际(集团)有限公司 1.1F09B
　　潮州市加佳陶瓷制作有限公司 1.1F10
　　广州卓尔艺术家饰有限公司 1.1F11
　　广州格调家居用品有限公司 1.1G01
　　广州市大阳。艺品 1.1G02
　　深圳市大名堂家居发展公司 1.1G03
　　雅龙家居 1.1G04
　　圣鹿家居 1.1G05
　　深圳市怡家饰品有限公司 1.1G06
　　深圳市雷峰村工艺品有限公司 1.1G07
　　卓越名画 伊莎贝拉家品 1.1G08
　　简约(香港)国际集团有限公司 1.1G09
　　帝莱灯饰(中山丹乔灯饰配件厂) 1.1G10
　　江门国锐金属制品有限公司 1.1G11
　　广州景昌瓷庄灯饰研究有限公司 6.1A01
　　中裕灯饰厂 6.1A02
　　东莞市禾初家居饰品有限公司 6.1A03
　　中山市佳华灯饰厂 6.1A04
　　东莞市瑞彤家具饰品有限公司 6.1A05
　　华古蒂国际有限公司 6.1A06
　　江门市古镇费沃斯灯饰 6.1A07
　　中山市古镇可尼尔灯饰五金厂 6.1A08
　　中山市万达丰灯饰电器有限公司 6.1A09

