2010广州秋季家具展参展企业名录(5)
　　深圳合心富家具有限公司 9.3C03
　　东莞燃点五金家具 9.3C06
　　深圳市卡地亚家具制造有限公司 9.3C08
　　佛山市顺德区展升家具有限公司 9.3C10
　　东莞市康源家具有限公司 9.3C12
　　锭鸿企业有限公司 9.3C16
　　锭鸿企业有限公司 9.3C16
　　佛山市顺德歌珥家具制造有限公司 9.3C18
　　佛山市文华神家具布艺有限公司 9.3D01
　　东莞市海翔家具有限公司 9.3D03
　　姻美儿家具厂 9.3D06
　　淮安市爱尚家具有限公司 9.3D08
　　惠州市玛利朗家私厂 9.3D10
　　广东私享家家具有限公司 9.3D12
　　佛山市汉宝家具有限公司 9.3D16
　　古典展区
　　更新日期：2010/7/19 浏览： 427
　　公司名称 展位号
　　冠嘉家居用品(深圳)有限公司 2.1A01
　　嘉泰国际股份有限公司 2.1A03
　　福建省安溪恒星家俱有限公司 2.1A05
　　东莞市厚街天时家具厂 2.1A08
　　温州缇香家具有限公司 2.1B01
　　温州市大千艺术家居有限公司 2.1B02
　　闽侯闽兴编织品有限公司 2.1B03
　　雅梦娜家具(深圳)有限公司 2.1B05
　　佛山市御兴家具有限公司 2.1B06
　　美和(福建)集团有限公司 2.1B08
　　深圳市高乐高家具制造有限公司 2.1B09
　　浙江省顶丰家具有限公司 2.1C01
　　中山市板芙镇佳艺工艺厂 2.1C02
　　深圳市豪华广大家私有限公司 2.1C03
　　沈阳市润家家具制造厂 2.1C05
　　佛山市顺德区顺枫家具有限公司 2.1C06
　　佛山市威木龙家具厂 2.1C08
　　富邦家具 2.1C09
　　佛山市奇新家具有限公司 2.1C10
　　浙江飞拉利家具制造有限公司 2.1D01
　　宁波贝佳家具有限公司 2.1D02
　　绍兴昌丽家私有限公司 2.1D03
　　温州市家乐园家具有限公司 2.1D05
　　东莞市盛大家具有限公司 2.1D06
　　湛江信威工艺品有限公司 2.1D08
　　台州学友家具有限公司 3.1A01
　　佛山市南海区里水沛俪菲帕家具厂 3.1A02
　　浙江全洲家具有限公司 3.1A03
　　东莞市远大家具有限公司 3.1A05
　　沈阳柏拓家具制造厂 3.1A06
　　阳江市豪升家具有限公司 3.1A08
　　美佳居家具实业(深圳)有限公司 3.1B01
　　台州欧宜风家具有限公司 3.1B02
　　浙江卡莱伊诺家居有限公司(玉环县海鹏家具有限公司) 3.1B03
　　玉环县喜福家具有限公司 3.1B05
　　佛山市顺德区龙江镇圣科家具厂 3.1B06
　　中山承泽家具有限公司 3.1B07
　　浙江圣杰罗家具有限公司 3.1C01
　　台州三和家具有限公司 3.1C02
　　深圳市英格利家具有限公司 3.1C03
　　中山美丽华灯饰家私工艺有限公司 3.1C06
　　玉环大帆家具有限公司 3.1D01
　　佛山市悦龙家具实业有限公司 3.1D02
　　浙江省玉环县万家乐家具有限公司 3.1D03
　　浙江风格家具有限公司 3.1D05
　　浙江省台州迪威斯家具有限公司 3.1D06
　　温岭市富鑫家具有限公司 4.1A01
　　佛山市顺德区龙江镇丽逸家具厂 4.1A02
　　东莞市豪满庭家具有限公司 4.1A03
　　玉环县大众家具有限公司 4.1A05
　　东莞市大岭山天勤家具有限公司 4.1A06
　　台州飞龙家具有限公司 4.1B01
　　玉环爱佳家具有限公司 4.1B02
　　台州港源家具有限公司 4.1B03
　　东莞市厚街卓能家具厂(丹佛尔家具) 4.1B05
　　东伟家具厂 4.1B08
　　佛山市顺德区龙江镇奔盛家具厂 4.1B09
　　佛山柏艺家庭用品有限公司 4.1B10
　　浙江台州金得利家具有限公司 4.1C05
　　上海莱斐尔家居饰品有限公司 4.1C06
　　潮州市雄英工艺品有限公司 4.1C08
　　东莞方盛框业有限公司 4.1C10
　　华国铁木制品有限公司 4.1C11
　　浙江纪驰家居木业有限公司 4.1D02
　　玉环格雷威家具有限公司 4.1D03
　　玉环富源家具有限公司 4.1D05
　　北京南洋森林家具有限公司 5.1A01
　　浙江佳友家具有限公司 5.1A02
　　台州市富豪家具有限公司 5.1A03
　　伟创家具有限公司 5.1B02
　　台州市富豪家具有限公司 5.1B03
　　浙江天源家具有限公司(维尔佳) 5.1B05
　　浙江澳利达家具有限公司 5.1B06
　　Jans2en Furniture 5.1B09
　　泉州闽信藤木家具工艺有限公司 5.1B10

