2010广州秋季家具展参展企业名录
　　现代展区
　　公司名称 展位号
　　沛懋木业股份有限公司 1.2A28
　　佛山市美加美金属架有限公司 1.2A30
　　德清远创进出口有限公司 1.2A32
　　阳春市卓志进出口贸易有限公司 1.2A33
　　温州育才实业有限公司 1.2A36
　　中置五金厂 1.2A38
　　佛山市南海区京亮家居用品厂 1.2A40
　　金辉石材家具厂 1.2A42
　　佛山市顺德区百耀家具制造厂 1.2A43
　　广州市瑭泰家具制造有限公司 1.2B22
　　弘辉木艺有限公司 1.2B23
　　香港如蕾尔贸易公司 1.2B26
　　广州雅美家具制造厂 1.2C20
　　佛山市顺德区信颐家具有限公司 1.2C22
　　ASIADES HK LTD 1.2A26
　　亿成国际贸易有限公司 1.2C23
　　霸州市思凯国际有限公司 1.2C26
　　霸州市思凯国际有限公司 1.2C26
　　中山市其树家具有限公司 1.2D20
　　深圳市美加加家居用品有限公司 1.2D21
　　佛山市顺德区乐从润龙家具厂 1.2D22
　　佛山市南海尚艺金属制品厂 1.2D23
　　佛山市金喜雅家具实业有限公司 1.2D26
　　骏镁家具(合美) 1.2D28
　　青岛中青储国际贸易有限公司 1.2D30
　　佛山市马士通实业有限公司 1.2F01
　　广东省外贸开发公司 1.2F03
　　东莞市建益实业有限公司 1.2F06
　　(香港)尚品家具有限公司 1.2F08
　　广西艾普科工贸有限公司 1.2F10
　　安徽华安达工艺品有限公司 1.2F12
　　风华国际有限公司 1.2F16
　　风华国际有限公司 1.2F16
　　东莞市厚街薇阁五金制品厂 1.2F18
　　东莞市厚街薇阁五金制品厂 1.2F18
　　佛山市顺德区乐从镇沙边百达家具厂 1.2F20
　　佛山市华俊家具有限公司 1.2F22
　　广州圆朗五金家具有限公司 1.2F26
　　RELIABLE FURNITURE SDN.BHD. 1.2F28
　　佛山市南海乐信金属家具 1.2G01
　　漳州市东荣进出口有限公司 1.2G02
　　誉胜家具有限公司 1.2G03
　　名汇家具厂 1.2G06
　　韶关市鸿伟家具厂 1.2G08
　　天津凯思德家具进出口有限公司 1.2G10
　　三星(汕头)家具制造有限公司 1.2G12
　　佛山市高明博林家具有限公司 1.2G13
　　佛山市顺德区双诚至力家具有限公司 1.2G18
　　漳州默林家具有限公司 1.2G20
　　青岛润源家具有限公司 1.2G22
　　VILLAGELIFEFURNITURELIMITED 1.2G23
　　广州市番禺区恒美酒店金属家具制造有限公司 1.2G26
　　广州市增城福通五金制品厂 1.2G28
　　东莞市益达酒店用品有限公司 1.2G30
　　沈阳市新思维工艺玻璃厂 1.2G32
　　青岛欧森家居用品有限公司 1.2G36
　　宁波索迈家居用品有限公司 1.2G38
　　象山发业竹材有限公司 1.2G39
　　鹤山市万年家具有限公司 1.2G40
　　佛山市顺德区锦骏家具有限公司 1.2H01
　　佛山市南海显丽家具制造厂 1.2H02
　　佛山市顺德区乐从镇年丰家具厂 1.2H03
　　圣亿国际有限公司 1.2H05
　　东莞广合家具有限公司 1.2H06
　　东莞市虎门灵朗五金厂 1.2H07
　　仕华实业股份有限公司 1.2H08
　　厦门伟杰达工业有限公司 1.2H09
　　佛山市顺德区龙江镇腾豪家具厂 1.2H10
　　佛山市顺德区龙江镇健飞家具厂 1.2H11
　　青岛西卡欧家具有限公司 1.2H13
　　青岛松艺家具有限公司 1.2H15
　　佛山市顺德区乐从镇力高家具厂 1.2H16
　　广州市理念酒店金属家具制造有限公司 1.2H17
　　IRAK PLASTIk SAN.VE TIC AS. 1.2H18
　　富盈达家居用品制品厂 1.2H19
　　佛山市顺德区超品家具有限公司 1.2H20
　　广州市总钜家具制造有限公司 1.2H21
　　佛山市百俊五金塑料家具厂 1.2H22
　　台湾金鹰家具制造有限公司(广东恒大家具厂) 1.2H23
　　北京爱依瑞斯家居用品有限公司 10.2A01
　　深圳市华安居家具有限公司 10.2A08
　　佛山市顺德区龙江镇琼艺家具厂 10.2A10
　　雅琦(匠明)家具实业有限公司 10.2A12
　　中国广东尚域家具贸易有限公司 10.2B01
　　深圳市恒昂实业有限公司 10.2B06
　　佛山市帷特思家具有限公司 10.2B08
　　佳荣“纳维尔”家具 10.2B10
　　佛山爱米高家具有限公司 10.2B12
　　佛山市顺德区志达家具制造有限公司 10.2C01
　　东莞市恒兆实业有限公司 10.2C06

