2010广州秋季家具展参展企业名录(8)
　　吉林省宇平工艺品制造有限公司 7.1C11
　　华阳控股有限公司 7.1C13
　　广州蒴美装饰工程有限公司 7.1C15
　　济南欧贝儿礼品有限公司 7.1C16
　　广州市银凌工艺品有限公司 7.1C17
　　潮州市中厦陶瓷制作厂有限公司古板头分厂 7.1C18
　　潮州市伟森陶瓷制作厂 7.1C19
　　烟台世荣钟业有限公司 7.1C20
　　简雅家居饰品(深圳)有限公司 7.1D01
　　深圳市卓格瑞丽家居装饰有限公司 7.1D02
　　广州市美炫家居饰品有限公司 7.1D04
　　深圳市冰语艺术品有限公司 7.1D05
　　金浩特(商标牌)有限公司 7.1D06
　　浙江锦达新材料股份有限公司 7.1D07
　　深圳市东艺兴家具有限公司 7.1D08
　　广州市优加室内装饰设计有限公司 7.1D11
　　桐乡市设计者家用纺织品有限公司 7.1F01
　　广州乾丰印花有限公司 7.1F02
　　海宁市博旺布艺织造有限公司 7.1F03
　　联盛地毯 7.1F04
　　上海西东纺织装饰有限公司 7.1F05
　　杭州余杭志侬布艺有限公司 7.1F06
　　东莞市菲尼斯家纺布艺有限公司 7.1F08
　　河南华夏丝毯厂 7.1F09
　　天津源明地毯厂 7.1F10
　　天津金益华地毯 7.1F11
　　佛山市美地地毯有限公司 7.1F12
　　佛山市禅城区勇菖纺织厂 7.1G01
　　深圳市宝安区华聚百川机械行 7.1G02
　　东莞市后街博纳莎布艺经营部 7.1G03
　　絮彩布艺 7.1G04
　　广州谬思家居饰品 7.1G05
　　瀚文名纺 7.1G06
　　桐乡泰运虎纺织品有限公司 7.1G07
　　温州希拉里皮革(深圳)份公司 7.1G08
　　佛山市顺德区乐从镇布老师布艺加工店 7.1G09
　　广州典雅布艺饰品有限公司 7.1G10
　　广州源来居布艺 7.1G11
　　海宁亚太唯斯纺织有限公司 7.1G12
　　超良海绵厂 7.1G13
　　杭州罗孚纺织品有限公司 7.1G14
　　深圳市锦丰诚布艺有限公司 7.1G15
　　浙江裕隆实业股份有限公司 7.1G16
　　深圳市富德士家饰有限公司 7.1G17
　　深圳市中达机械厂 7.1G18
　　广州红井纺织品有限公司 7.1G19
　　深圳市汉飞纺织品有限公司 7.1G20
　　杭州田森纺织品有限公司 8.1A01
　　绍兴县蔡国峰家纺有限公司 8.1A02
　　宁波市鄞州东林家纺制品厂 8.1A03
　　宁波迪斯凯家居用品有限公司 8.1A04
　　宁波市鄞州柯思蒙家居用品有限公司 8.1A05
　　广州楚凤堂现代漆艺家居饰品 8.1A06
　　东莞市企石绿韵工艺品加工厂 8.1A07
　　广州市艺可家居饰品有限公司 8.1A08
　　佛山市好来福家居用品实业有限公司 8.1A09
　　深圳市金谊丰工艺品有限公司 8.1A10
　　意德宝中国贸易公司 8.1A11
　　广州三奇石矿有限公司 8.1B02
　　创意家居 8.1B03
　　东城贸易(福建)有限公司 8.1B04
　　绿海地 8.1B05
　　东莞市卡莎汇家居装饰品有限公司 8.1B10
　　佛山市文华神家具布艺有限公司 8.1C01
　　广州市优澜工艺品有限公司 8.1C02
　　赛尔家家居饰品(石狮)有限公司 8.1C04
　　广州市新丫进出口贸易有限公司 8.1C05
　　嘉富高贸易(深圳)有限公司 8.1C06
　　深圳市海纳艺术品有限公司 8.1C07
　　深圳市罗湖区雅家工艺商店 8.1C08
　　深圳市卉之源实业有限公司 8.1C09
　　佛山市特耐家纺实业有限公司 8.1D01
　　深圳市依格玛家居用品有限公司 8.1D02
　　广州聚名家居用品有限公司 8.1D03
　　广州信诚家居用品有限公司 8.1D04
　　深圳市丝露花雨花艺制品有限公司 8.1D05
　　深圳市令高花艺有限公司 8.1D06
　　深圳市莱菲花艺有限公司 8.1D07
　　广州宁芙饰品行 8.1D08
　　广东联邦家私集团有限公司 8.1F01
　　福华(家福)地毯 8.1F02
　　捷优地毯 8.1F03
　　上海泓佳贸易有限公司 8.1F04
　　东莞市集美地毯厂 8.1F05
　　佛山市顺德区博登家居饰品有限公司 8.1F06
　　厦门鸿佳地毯有限公司/天津鸿佳地毯有限公司 8.1F07
　　青海藏羊地毯(集团)有限公司 8.1G01
　　苏州巴比伦地毯有限公司 8.1G02
　　河南精工地毯家饰制品有限公司 8.1G03,8.1H03
　　天津恒盛纺织品有限公司 8.1H01
　　广东锦绮线业有限公司；美地雅地毯 8.1H02
　　北京加鼎地毡有限公司 8.1H05
　　广州红粉家庭用品有限公司 8.1H06

