君安国际本周六将举办“小明星大奖赛”活动
　　本周六，君安国际销售中心将举办“小明星大奖赛”音乐盛会，特聘中央音乐学院教授将现场点评，与家长一同探讨孩子教育发展之路。
　　同时现场还有软陶制作、DIY手链制作、沙画、玻璃画、彩绘等更多嘉年华游艺活动，更多欢畅礼品等您拿。君安国际邀请尊敬的业主和您的家人共渡欢乐亲子周末！
　　活动时间：2011年8月13日14:00-17:00
　　活动流程：
　　13:00 —— 14:00          嘉宾签到，小明星签到，填写报名表格
　　14:00 —— 14:05          主持人开场，介绍评委
　　14:00 —— 16:00          比赛开始，每位小明星演出结束，评委现场讲评
　　16:00 —— 16:20          颁奖礼
　　13:30 —— 17:00          活动区提供散点活动
　　14:00 —— 17:00          儿童自助餐提供
　　16:00 —— 16:30          抽奖时间
　　14:30 —— 16:30          自助茶歇
　　13:00 —— 17:00          玩偶互动，近景小丑魔术
　　13:00 —— 17:00          电声乐队
我要评论

