金地集团2010年所获荣誉一览
1、 连续第七届荣获经济观察报评选的“蓝筹地产”殊荣；
2、 “中国房地产上市公司综合实力10强”，其中，在2010沪深房地产上市公司综合实力TOP10中公司位列第8名、在经营规模TOP10中位列第3名、在投资价值TOP10中位列第3名、在2010园区开发上市公司竞争力TOP10中位列第5名。
3、 在由21世纪经济报道主办的2010年中国地产风尚大奖评选中荣获“2010中国最具价值地产上市企业”殊荣、凌克董事长荣获了“2010中国最具影响力地产人物”。
4、 在由理财周报发起的中国上市公司最佳董事会评选中，公司董事会荣获2010中国主板上市公司最佳董事会（50强）；获得由理财周报评选的2010年度地产财富势力榜——中国机构投资者首选地产企业；
5、 在“首届深报指数优质上市公司评选”中，获得深报指数最具成长前景上市公司、最佳媒体形象上市公司、最佳投资者关系上市公司三项大奖；
6、 在由北京师范大学经济与工商管理学院公司治理与企业发展研究中心推出的中国上市公司信息披露指数（2010）的上市公司信息披露指数排名中，公司信息披露指数在一线房地产商中排名第一；
7、 在由每日经济新闻、网易主办，中国商业联合会协办的2010中国企业诚信榜评选活动的“诚信企业”称号；
8、 在由经济观察报评选的“2010中国最具社会责任房地产企业G20”称号，在2010CSR（中国）领袖总评榜评选中，公司荣获最佳践行企业奖，是唯一获奖的房地产企业。
9、 金地物业荣膺“2010中国物业服务品牌价值企业”全国前三甲殊荣，并取得国务院发展研究中心企业研究所、清华大学房地产研究所共同主办评选的“2010中国物业服务百强企业服务质量TOP10”全国第二名。
 
我要评论

